"Primary Field","Title","Work type","Year","[publisher]","[location]","Page no","Issue","Volume","Source link","[commentaries]","[work roles]","Complete","[news items]"
"Sjambok and Other Poems from Africa (1964)","Sjambok and Other Poems from Africa","Single Author|Selected Works","1964","['reckBi9snfx9vvo8R']","['recZw13lsI65j01ma']","","",""," - ","","['rec9287w3317sXLaa']","",""
"Africa Talks Back: Interviews with Anglophone African authors (2002)","Africa Talks Back: Interviews with Anglophone African authors","Single Author|Full Length","2002","['reccgFsYvJjLhkRPL']","","","",""," - ","","['recWWwsTug4l2OoPn', 'recu5JtZ52Diz1swS', 'recyddyBk58D8Fps7', 'recqSqDeTwgKYa3U5', 'recENm4TOL6Qe16ou']","",""
"Magic Casements (1905)","Magic Casements","Single Author|Selected Works","1905","['recu6tJtvwfEWqUTj']","","","",""," - ","","['recfO1WOMEotkO43G']","",""
"A Choice of Ballads (1960)","A Choice of Ballads","Single Author|Selected Works","1960","['recXxVdJnHU3pvIEC']","['recR6YHhrfthZo5tS']","","",""," - ","","['rec2fUzwVcm1IWw6H']","",""
"Lemma (1974)","Lemma","Single Author|Selected Works","1974","['recadniZrGSrxejUc']","['recByKWBNYTnFNrCp']","","",""," - ","","['recwWTN1mmPxN0exm']","",""
"Christopher Okigbo, 1930-67: Thirsting for Sunlight (1930)","Christopher Okigbo, 1930-67: Thirsting for Sunlight","Single Author|Full Length","1930","['recVCMcf8o9ZbGbxy']","","","",""," - ","","['recCNyJlURjPh8T3I']","",""
"Stubborn Hope (1978)","Stubborn Hope","Single Author|Selected Works","1978","['recxs7nr1XEK0p7Jk']","['recR6YHhrfthZo5tS']","","",""," - ","","['recwO2ISGrEKyRuFG']","",""
"Neerslag (Precipitation) (1958)","Neerslag (Precipitation)","Single Author|Selected Works","1958","['recxq15WOgg1YwL7j']","['recByKWBNYTnFNrCp']","","",""," - ","","['recTnnUm6Qh7aXLAF']","",""
"Sekel en simbaal (1948)","Sekel en simbaal","Single Author|Selected Works","1948","['recw6N3ltjrOCXqWq']","['recByKWBNYTnFNrCp']","","",""," - ","","['recPrEGYrxxb2f9d5']","",""
"African Literature Today (1968)","African Literature Today","Single Author|Full Length","1968","['recxs7nr1XEK0p7Jk']","['recR6YHhrfthZo5tS']","","",""," - ","","['recbhxKxi3o7O0VW4']","","['rec89wygvAuOFRpC6']"
"The Picador Book of African Stories (2001)","The Picador Book of African Stories","Anthology","2001","['recIUU1EAYZomrKHZ']","['recR6YHhrfthZo5tS']","","",""," - ","","['rec312H7Onku6m4ty']","","['rec0TIahem39zRiFK']"
"Afrique debout (1950)","Afrique debout","Single Author|Selected Works","1950","","","","",""," - ","","['recYTNMSHC84xsUkf']","",""
"The Nightingale, and other poems (1908)","The Nightingale, and other poems","Single Author|Selected Works","1908","['rec1GqP1kRdbda5GZ']","['recSFNm7cRV4I7fI7']","","",""," - ","","","",""
"Nocturnes (1971)","Nocturnes","Single Author|Selected Works","1971","['recKkNwvXwxWNXvFT']","['reckYc4fBX8zNzPHT']","","",""," - ","","['recmZygjGa8GSP9RG', 'recQYIMIo5HsSOoMX', 'recblZdD4avGIlXK8', 'recCISpBg4jkohHUC', 'recfBzVfA81KLJgme', 'recADmklHYJD7giIr', 'recIvP80ItkPwHUw1']","","['recUOB2MhRPPmNyxa']"
"Labyrinths and Path of Thunder (1971)","Labyrinths and Path of Thunder","Single Author|Selected Works","1971","['recKkNwvXwxWNXvFT']","['recR6YHhrfthZo5tS']","","",""," - ","","['recusVu4KsFrA9uzz']","","['recJrcWm5Usg0ct3S']"
"La ronde des jours (1956)","La ronde des jours","Single Author|Selected Works","1956","","","","",""," - ","","['recQRs8ohLgpYNPN7']","",""
"F. T. Prince: Collected Poems 1935-1992 (1993)","F. T. Prince: Collected Poems 1935-1992","Single Author|Collected Works","1993","['rec1nkWhXxnhMDgEv']","['recFsn8RVfhGPlVDL']","","",""," - ","","['recYJjuSTCSyWDKIU']","",""
"Black Writers from South Africa: Towards a discourse of liberation (1989)","Black Writers from South Africa: Towards a discourse of liberation","Anthology","1989","['recv6M0cEpbUkOb0O']","['recRPTnrNPU6ArRJv']","","",""," - ","","['rec8KcE9cywpM99ic', 'recWmdMitAXlSMmp0', 'recnQsUF4SU2yRXTY', 'recG5frjKCFjcSKRF', 'reccWnUy2fYYFmf7m', 'rec3r2yxO7C2khMJR', 'recrvoNFLOf3c0SDR']","",""
"Bitter brood (1965)","Bitter brood","Single Author|Selected Works","1965","['recYN91fhMQgFG4hs']","['recFjYFloIc1MhnAb']","","",""," - ","","['recgqV4Kz8YvDT5L1']","",""
"The Doors of Stone: Poems, 1938-1962 (1963)","The Doors of Stone: Poems, 1938-1962","Single Author|Collected Works","1963","['recu7rfcyMjFdFFFI']","['recR6YHhrfthZo5tS']","","",""," - ","","['rec2sTgvmiZk4MW2T']","",""
"Modern Poems (1917)","Modern Poems","Single Author|Selected Works","1917","","","","",""," - ","","['reclt7xe8tZmh2gzC']","",""
"An Adventure to Juju Island (1992)","An Adventure to Juju Island","Single Author|Full Length","1992","['reczBa1Vg3ko79ujM']","['recesdnoCDNCstSIs']","","",""," - ","","['recwgTeXLmLfwoRZn']","",""
"A Ruthless Fidelity: Collected Poems of Douglas Livingstone (2004)","A Ruthless Fidelity: Collected Poems of Douglas Livingstone","Single Author|Collected Works","2004","['recF07KfYjjsKbnSz']","['recFjYFloIc1MhnAb']","","",""," - ","","['recNwoptJT4ccfiGw']","",""
"The Secret Veld (1931)","The Secret Veld","Single Author|Selected Works","1931","['reckBi9snfx9vvo8R']","['recZw13lsI65j01ma']","","",""," - ","","['recy8xFOJ87KQsf8r']","",""
"The Clan of the Leopard and Other Poems (1996)","The Clan of the Leopard and Other Poems","Single Author|Selected Works","1996","['recCJjKnHERJactrF']","","","",""," - ","","['recu3ZSTKZ8oRxkmQ']","",""
"Oeuvres complètes, poésie (1978)","Oeuvres complètes, poésie","Single Author|Selected Works","1978","['recg6W1lHLDtNPmtl']","['recaO8FXmzgUWmwxw']","","",""," - ","","['recpy6tpZAELG1jVA']","",""
"Origin East Africa: A Makerere Anthology (1965)","Origin East Africa: A Makerere Anthology","Anthology","1965","['recKkNwvXwxWNXvFT']","['reckYc4fBX8zNzPHT']","","",""," - ","","['recAFiRzA3AkDHxQM']","",""
"A view of the north (1976)","A view of the north","Single Author|Selected Works","1976","['recWkE2BpGNkVqjxp']","","","",""," - ","","['reciPsGQ0sIhYJ9KF']","",""
"The Anvil's Undertone (1978)","The Anvil's Undertone","Single Author|Selected Works","1978","['recF07KfYjjsKbnSz']","['recFjYFloIc1MhnAb']","","",""," - ","","['recjIoQuSWObUD33Y']","",""
"Nocturnes (1971)","Nocturnes","Single Author|Selected Works","1971","['reckuBiLLdXKySQfE']","","","",""," - ","","['recjxRhzJuSpzEvgq']","",""
"The Rise of South Africa (1921)","The Rise of South Africa","Single Author|Full Length","1921","['recm2bt0VQoMSg44J']","['recR6YHhrfthZo5tS']","","",""," - ","","['recFrMYVxseKEO5c4']","",""
"Anthills of the Savannah  (1987)","Anthills of the Savannah ","Single Author|Full Length","1987","['recKkNwvXwxWNXvFT']","['recDF8hLx8yVLng52']","p. 240","",""," - ","","","","['recSpWUd4Q0nRazQw', 'recWmVwHm68yAPoBb', 'recv7iwE3H2ARe0rF', 'recCkF6o4q0bpMqnV', 'recsWjpkmNVnEVaM3']"
"Hurry Up to It! (1975)","Hurry Up to It!","Single Author|Selected Works","1975","['recF07KfYjjsKbnSz']","['recFjYFloIc1MhnAb']","","",""," - ","","['rec97vkIHUCsnBDwA']","",""
"Departmental Ditties (1886)","Departmental Ditties","Single Author|Selected Works","1886","['recv6M0cEpbUkOb0O']","['recRPTnrNPU6ArRJv']","","",""," - ","","['rec1SQq9rhUNzvQVb']","",""
"Painted Windows: Studies in Religious Personality (1922)","Painted Windows: Studies in Religious Personality","Single Author|Selected Works","1922","['reccm0WBNcKMuAjgt']","","","",""," - ","","","",""
"Le Retour au bercail (1962)","Le Retour au bercail","Single Author|Selected Works","1962","['receDKWxCis7S6KSs']","['recEQ5xxm0QUQCzsd']","","",""," - ","","['recOyp2KlgDYr9j1J']","",""
"No Sweetness Here (1988)","No Sweetness Here","Single Author|Full Length","1988","['recpnKAl8DyDg6Njk']","['recR6YHhrfthZo5tS']","","",""," - ","","['recyeir0zhzO2UJyT']","","['recuacADW748Op6nj']"
"The Father Found (1941)","The Father Found","Single Author|Selected Works","1941","['recEzJUESbrePx4Kd']","['recR6YHhrfthZo5tS']","","",""," - ","","['recuHhEMVzFFIg762']","",""
"Pergamon Poets 2: Poetry from Africa, with others (1968)","Pergamon Poets 2: Poetry from Africa, with others","Anthology","1968","['recjoEnpofYD17GIM']","['rec0tVWei6coQiZCs']","","",""," - ","","['recc2PFJS6pSahC8k', 'recj1sv5Av6I7OViQ']","",""
"Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)","Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club","Anthology","1910","['rec5orC0LALDAOhkV']","['recR6YHhrfthZo5tS']","","",""," - ","","['recis9EexOKC0Gs9R', 'recXpF3GngeCN5SCg']","",""
"Versamelde gedigte: 1954-1984 (1982)","Versamelde gedigte: 1954-1984","Single Author|Collected Works","1982","['recadniZrGSrxejUc']","['recByKWBNYTnFNrCp']","","",""," - ","","['recepLSBoR1Feya6k']","",""
"Anthem of the Decades (1981)","Anthem of the Decades","Single Author|Full Length","1981","['recKkNwvXwxWNXvFT']","['reckYc4fBX8zNzPHT']","","",""," - ","","['recCQq3lDcsoWSenN', 'recgs0TGLAFU1d8pT']","","['rec5VG4rYGmqjoOJA']"
"Anamnese (1991)","Anamnese","Single Author|Full Length","1991","['recadniZrGSrxejUc']","['recByKWBNYTnFNrCp']","","",""," - ","","['rec0qGrHh2PVCqIW9']","",""
"I Will Ask Questions With Stones If They Take My Voice (2008)","I Will Ask Questions With Stones If They Take My Voice","Single Author|Selected Works","2008","['recrludAIg5YRTHRq']","['rechXxEReQlGKd2ar']","","",""," - ","","['recGhyTa2VAFGEyua']","",""
"Selected Poems (2001)","Selected Poems","Single Author|Selected Works","2001","['rec5zmRHXkzVN4GNj']","['recR6YHhrfthZo5tS']","","",""," - ","","['reczlRm4gVCcEvrMs']","",""
"Voices from the Gallows Trees (1969)","Voices from the Gallows Trees","Single Author|Selected Works","1969","['recGZVPX4jMu2EivV']","","","",""," - ","","['recNx9322AHImNxQV']","",""
"Morning Yet on Creation Day (1975)","Morning Yet on Creation Day","Single Author|Full Length","1975","['recxs7nr1XEK0p7Jk']","['recR6YHhrfthZo5tS']","","",""," - ","","['recQ4OEjhcS4hFaaT', 'rec7VanYFeFUbZf4w', 'recrOHlphVROT5Ww2', 'recXnghnlbvZxPleZ', 'recqXdklA5EFMGcho']","","['recjpnB6GZQDx9dfZ']"
"Ephemerides; or occasional poems (1828)","Ephemerides; or occasional poems","Single Author|Selected Works","1828","['recoXGAy4buem1K6T']","['recR6YHhrfthZo5tS']","","",""," - ","","['recUt6NzFhHRzdhRF']","",""
"An Axe in the Ice (1992)","An Axe in the Ice","Single Author|Selected Works","1992","['recsbiIxirxlvB2Ap']","['recKow3Gb4ICpWOsk']","","",""," - ","","['recBDYYGZsxyl2f6T']","",""
"A Treasury of South African Poetry (1907)","A Treasury of South African Poetry","Anthology","1907","['recdzMJFbjeq1ptEt']","['recRPTnrNPU6ArRJv']","","",""," - ","","","","['reczpscNfD39kUcRi']"
"Feu de brousse (1957)","Feu de brousse","Single Author|Selected Works","1957","['recXWW163usBudK3w']","['recaO8FXmzgUWmwxw']","","",""," - ","","['rec0O4T7BfmrPYDA0']","",""
"Amalokotho Kanomkhubulwane (1996)","Amalokotho Kanomkhubulwane","Single Author|Selected Works","1996","['recEWuPyr72hp502q']","['reckyxi4BnnhhZ5nF']","","",""," - ","","['recwuFEKPSzpJJLLP']","",""
"The Latin American and Caribbean Notebook (1992)","The Latin American and Caribbean Notebook","Single Author|Selected Works","1992","['reccgFsYvJjLhkRPL']","","","",""," - ","","['rectqThniCte0deqo']","",""
"Temps de Mémoire (1967)","Temps de Mémoire","Single Author|Selected Works","1967","['recg6W1lHLDtNPmtl']","['recaO8FXmzgUWmwxw']","","",""," - ","","['receI86thPSn1k4r8']","",""
"A Shot in the Park (1955)","A Shot in the Park","Single Author|Selected Works","1955","['recXxVdJnHU3pvIEC']","['recR6YHhrfthZo5tS']","","",""," - ","","['recKYFuZf9Vb9DPk6']","",""
"No More Lullabies (1982)","No More Lullabies","Single Author|Selected Works","1982","['recgzwAW9Jxrjo7Cu']","","","",""," - ","","['recbY85O6ySHr5sZW']","",""
"Malak: An African Political Poem (1976)","Malak: An African Political Poem","Single Author|Selected Works","1976","['reckUQFcwM824zPBh']","['recu3MoBp4ft8I96h']","","",""," - ","","['recrilf0chRJChgkm']","",""
"Du. Schweizerische Monatsschrift (1951)","Du. Schweizerische Monatsschrift","Magazine","1951","['recGveNocQTvVT3EK']","['recVRMU1jTcyeeheE']","","",""," - ","","","","['recaJUQoNPbLJOwz9']"
"Songs and Ballads (1978)","Songs and Ballads","Single Author|Selected Works","1978","","","","",""," - ","","['reck0yA9lZBi95q5d']","",""
"Selected Poems (1984)","Selected Poems","Single Author|Selected Works","1984","['recF07KfYjjsKbnSz']","['recFjYFloIc1MhnAb']","","",""," - ","","['rec4pfvGM93RNAeFW']","",""
"Die Ander Dors (1946)","Die Ander Dors","Single Author|Selected Works","1946","['recaOL5DmwflOJz1q']","['recFjYFloIc1MhnAb']","","",""," - ","","['rec12BBhl8FoRNAqn']","",""
"South African Sketches: Poems by Thomas Pringle, with a frontispicco photogravuro by J. G. Millais (1834)","South African Sketches: Poems by Thomas Pringle, with a frontispicco photogravuro by J. G. Millais","Single Author|Selected Works","1834","['recxahbpYjxv9CYHB']","['recfIcl7v6SgmqwkD']","","",""," - ","","['recKmgvmdXs9qhqjA']","","['rec9m8uCI7nmxwxA6']"
"The Dilemma of a Ghost; Anoma (1987)","The Dilemma of a Ghost; Anoma","Single Author|Full Length","1987","['recpnKAl8DyDg6Njk']","['recR6YHhrfthZo5tS']","","",""," - ","","['recslGjHNtHUC8j4m']","","['recqXVBzDMkCD4yuH']"
"African Sketches (1834)","African Sketches","Single Author|Selected Works","1834","['recfnuDDCIJo1Zpog']","['recR6YHhrfthZo5tS']","","",""," - ","","['recsmcKHVEHW8h28H']","","['recRyvlZI1bUAT5I3', 'recj4G9lhnCQBD5zl']"
"Winter of Our Discontent (2008)","Winter of Our Discontent","Single Author|Full Length","2008","['reckanGgoZFeNEAni']","['recR6YHhrfthZo5tS']","","",""," - ","","['recVz1B51hByEdlA2']","",""
"Tasks and Masks: Themes and Styles of African Literature (1982)","Tasks and Masks: Themes and Styles of African Literature","Single Author|Full Length","1982","['recpnKAl8DyDg6Njk']","['recR6YHhrfthZo5tS']","","",""," - ","","['rec2rmTZEZ7X0L9a9', 'recHEkQQZ6nqdffqv', 'reclTLL52oVDbIpep']","",""
"A Guide to Twentieth-Century Women Novelists (1998)","A Guide to Twentieth-Century Women Novelists","Single Author|Full Length","1998","['recOuD3uo1zpgQgxz']","","","",""," - ","","['recH5dS9FyUyo2SaW']","","['reckhOjGKPM0yJst3']"
"The Land at My Door (1965)","The Land at My Door","Single Author|Selected Works","1965","['recadniZrGSrxejUc']","['recByKWBNYTnFNrCp']","","",""," - ","","['recHWJyiH6MJMzfbq']","",""
"Volumes (1928)","Volumes","Single Author|Selected Works","1928","","","","",""," - ","","['rec1F8R5EnAiL5Ade']","",""
"Verse van die Liefde (1957)","Verse van die Liefde","Single Author|Selected Works","1957","","","","",""," - ","","['recbVUQDOUdkodomQ']","",""
"Domestic Interior and Other Poems (1959)","Domestic Interior and Other Poems","Single Author|Selected Works","1959","['recePapKPouQwFSJw']","['recR6YHhrfthZo5tS']","","",""," - ","","","",""
"Sounds of a Cowhide Drum (1971)","Sounds of a Cowhide Drum","Single Author|Selected Works","1971","['reckuBiLLdXKySQfE']","","","",""," - ","","['reckD2AYGBYGBM8nH']","","['recMEbJoZvma2yUQk', 'recDF2ZQGL8uCPj0b']"
"Eyes Closed Against the Sun (1970)","Eyes Closed Against the Sun","Single Author|Selected Works","1970","['reckBi9snfx9vvo8R']","['recZw13lsI65j01ma']","","",""," - ","","['recw7kXJAm481MMpj']","",""
"The Nightingale, and other poems (1908)","The Nightingale, and other poems","Single Author|Selected Works","1908","['rec1GqP1kRdbda5GZ']","['recSFNm7cRV4I7fI7']","","",""," - ","","","",""
"Things Fall Apart (1958)","Things Fall Apart","Single Author|Full Length","1958","['recKkNwvXwxWNXvFT']","['recR6YHhrfthZo5tS']","","",""," - ","","['recnGe213LdJe3dO6', 'reclwfKOUUyWITmHo']","","['recRVbyA9ZycAcGSs', 'recx2dwYPnceD4o5X', 'recrXFoBFfsPdawn1', 'recM2qnTfltzhooXi', 'recE7LTt25hBHuc1j', 'receainotmoCKsNlB', 'recC9Rv0xcOscXHXE', 'recIrdnJshsoZywqZ', 'recRopJa7nFzHm8yS', 'rec2NPsSDinfy6ow4']"
"Mandela’s Earth and Other Poems (1988)","Mandela’s Earth and Other Poems","Single Author|Selected Works","1988","['recQtPYt3QHkGMKEj']","['recRPTnrNPU6ArRJv']","","",""," - ","","['recmloemAr7vrQBDY']","",""
"Citizen of Elsewhere (2013)","Citizen of Elsewhere","Single Author|Selected Works","2013","['recRFGkH2X1mAGFtq']","['recT7tEs3G0xeVVHo']","","",""," - ","","['recWHi0UQZ1RC4Ajf']","",""
"Kwiksilwersirkel (1978)","Kwiksilwersirkel","Single Author|Selected Works","1978","['recadniZrGSrxejUc']","['recByKWBNYTnFNrCp']","","",""," - ","","['recEi3MYb0PymhsOz']","",""
"La joie d’un Continent (1954)","La joie d’un Continent","Single Author|Selected Works","1954","['recMAyPTe7MhH6wRD']","","","",""," - ","","['rec9p2Zud5cT5ttDa']","",""
"Die Aamborstige Klok. Herinneringe ann 'n Karoojeug (1966)","Die Aamborstige Klok. Herinneringe ann 'n Karoojeug","Single Author|Selected Works","1966","['recJlRVhcyEr0JW8a']","['recByKWBNYTnFNrCp']","","",""," - ","","['recD4nZmwFfz3LBCw']","",""
"Young Commonwealth Poets (1965)","Young Commonwealth Poets","Anthology","1965","['recKkNwvXwxWNXvFT']","['recR6YHhrfthZo5tS']","","",""," - ","","['rec6Dm5wEeZsocWEm', 'recDcK6TOBw2VzEht', 'recLbw0AZjfZoT5eJ']","",""
"The House by the Sea (1978)","The House by the Sea","Single Author|Selected Works","1978","['recdiyuHnz0tGPTmX']","['recRPTnrNPU6ArRJv']","","",""," - ","","['rec3tQLrzxfsODDtB']","","['recxCd4FPWaFgsrAV']"
"Papassidi maître-escroc (1975)","Papassidi maître-escroc","Single Author|Selected Works","1975","['recBYpdC3ni2vJEBG']","['recIfdbBEWSnOjoeU']","","",""," - ","","['rectJUSiCddPwfQqA']","",""
"Teenstrydige Liedere (1972)","Teenstrydige Liedere","Single Author|Selected Works","1972","['recw6N3ltjrOCXqWq']","['recByKWBNYTnFNrCp']","","",""," - ","","['recppAq5WBcytGblG']","",""
"Poèmes (Presque-songes, Traduit de la nuit) (1960)","Poèmes (Presque-songes, Traduit de la nuit)","Single Author|Selected Works","1960","['receDKWxCis7S6KSs']","['recEQ5xxm0QUQCzsd']","","",""," - ","","['recUDK8q186j6QqyZ']","",""
"Bandiet: Seven Years in a South African Prison (1974)","Bandiet: Seven Years in a South African Prison","Single Author|Full Length","1974","['receVIIrRZwJG3UPh']","['recR6YHhrfthZo5tS']","","",""," - ","","['recbTPSszXhju9KV4']","",""
"What Next? Surviving the twenty-first century (2009)","What Next? Surviving the twenty-first century","Single Author|Full Length","2009","['reckanGgoZFeNEAni']","['recR6YHhrfthZo5tS']","","",""," - ","","['reciEjwbn9KqIE4xt']","",""
"A Boiling Caracas and Other Poems (2008)","A Boiling Caracas and Other Poems","Single Author|Selected Works","2008","['recrludAIg5YRTHRq']","['rechXxEReQlGKd2ar']","","",""," - ","","['recJoUmORY1jmUA6R']","",""
"The Tree of Bitter Fruit (1910)","The Tree of Bitter Fruit","Single Author|Full Length","1910","['rec7G38Scuzkn0tMe']","['recR6YHhrfthZo5tS']","","",""," - ","","['recK86up2cghUJ8qp']","",""
"Sonnets of South Africa (1911)","Sonnets of South Africa","Anthology","1911","['recsMxkOubAC56Il5']","['recR6YHhrfthZo5tS']","","",""," - ","","","","['reczpscNfD39kUcRi']"
"Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)","Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club","Anthology","1910","['rec5orC0LALDAOhkV']","['recR6YHhrfthZo5tS']","","",""," - ","","","",""
"New-Born Images: Poems (1991)","New-Born Images: Poems","Single Author|Selected Works","1991","['recbG45BLlNho9hDx']","","","",""," - ","","['recONXmfTcxRQNCL6']","",""
"The Rare and the Beautiful: the lives of the Garmans (2004)","The Rare and the Beautiful: the lives of the Garmans","Single Author|Full Length","2004","['recUAwpvb1t113Ce6']","['recRPTnrNPU6ArRJv']","","",""," - ","","['recLpgh4mC6E4nnsj']","",""
"Poems from Black Africa (1963)","Poems from Black Africa","Anthology","1963","['recCVZE5Wg6hquj7a']","['rec2lbQThAnBuWF6m']","","",""," - ","","['recWzUo4xbcccz43x', 'rec67X17GJq1mJ1Tq', 'recrIpVzzDd4JD4Oa', 'recr1lykxmhOEmctb', 'recK06TV8AAWjvxGb', 'reccPuf4cl5fdLQUy', 'recSt0TIilqq4nKgY', 'recjxtnuveJzJyXDE', 'rec4iVGEQIZI3ixik', 'recoUwWZVijp1embg', 'recvwjxiGLrhQSqnG', 'recCC6bQHHjruOcPC', 'recLlPwQI2uCsPf2L', 'rec7wZgfCk29FPrhy']","","['reclba6LHb1UskaoG']"
"Thrènes d'avant l'aurore: Madagascar (1985)","Thrènes d'avant l'aurore: Madagascar","Single Author|Selected Works","1985","['recg6W1lHLDtNPmtl']","['recaO8FXmzgUWmwxw']","","",""," - ","","['recUxRtyEG3T62BY2']","",""
"The Skull in the Mud (1960)","The Skull in the Mud","Single Author|Selected Works","1960","['rec3ZptqzzVEG4YMn']","","","",""," - ","","['recxecQY2Er93cvIm']","",""
"The Famished Road (1992)","The Famished Road","Single Author|Full Length","1992","","","","",""," - ","","","","['rec44LTbVEhxEZT1M']"
"The Wayzgoose (1928)","The Wayzgoose","Single Author|Selected Works","1928","['recXxVdJnHU3pvIEC']","['recR6YHhrfthZo5tS']","","",""," - ","","['receJsS6S9UAkRs8Z']","","['recSxCEkB2h9SCE5q']"
"Mann Alive! (1992)","Mann Alive!","Single Author|Selected Works","1992","","","","",""," - ","","['receUchdT1qDenpZ7']","",""
"A.R.T.H.U.R.: The Life and Opinions of a Digital Computer (1974)","A.R.T.H.U.R.: The Life and Opinions of a Digital Computer","Single Author|Selected Works","1974","['recJbYzmlyMBcZJfC']","['recC5BjQVYz1jdP5O']","","",""," - ","","","",""
"Life by Drowning: Selected Poems (1983)","Life by Drowning: Selected Poems","Single Author|Selected Works","1983","['recwRBI5GkfXO4mqH']","['recJkiPQFxXP5QRvY']","","",""," - ","","['rec5oSTptZxGa7hsm']","","['recTNefMui1Z5rAqu']"
"Leopold Sedar Senghor (1963)","Leopold Sedar Senghor","Single Author|Collected Works","1963","['recg6W1lHLDtNPmtl']","['recaO8FXmzgUWmwxw']","","",""," - ","","['recYGq3RyY1Ge2jp6', 'recY2CJE3gZJGl6RJ', 'reciguRXgF1tCukaD', 'recXhoxEyrcFBlFaE', 'recIZle3WHFh8clGP', 'rec1fvNroUN5oqjqc', 'recE5iYZgLQ1tjpoy', 'recPVPsihiq0WPIJ5', 'recWaZv6RNHf1RQDg', 'reclbFUvz80iLyAjg', 'recL7XnQ6cXLa2t1G', 'recMlROsm2ZjAmJXP', 'recIwNPWkgRvxf3EC', 'recaVBHONTRfnO3RG', 'reccxdEeUVY6tMjer']","","['recKqPLKRHHgjzBli']"
"The Collected Poems of Francis Carey Slater (1957)","The Collected Poems of Francis Carey Slater","Single Author|Collected Works","1957","['rec9rJE4Sio33chZO']","['recfIcl7v6SgmqwkD']","","",""," - ","","['recK9mwvpWtCXwc6G']","",""
"Ballade van die groot begeer (Ballad of the great desire) (1960)","Ballade van die groot begeer (Ballad of the great desire)","Single Author|Full Length","1960","['recadniZrGSrxejUc']","['recByKWBNYTnFNrCp']","","",""," - ","","['recC1GmLfy1yYBBZV']","",""
"Heavensgate (1962)","Heavensgate","Single Author|Selected Works","1962","","","","",""," - ","","['reciUHwMxo4FswPDG', 'recvaKnVbR5HhDYlB', 'recKqIkMBMUCY5sFf', 'recUL2UWMGIQSegpX', 'rec25p9o8t0FZJAGR', 'reccoYL3uEuQq4tVV', 'rech4jxlMHcmgofsb', 'reckccH52loatCOs0', 'recjO9dcgpuXj2pfj']","","['recENYPFi07koxKf6']"
"There Was A Country  (2013)","There Was A Country ","Single Author|Full Length","2013","['reckanGgoZFeNEAni']","['recNNQjKCOyCOf7NO']","352","",""," - ","","","","['recxMnTmTO81ygQQW', 'recFHfek0FvhHWPpE']"
"Myth, Literature and the African World (1976)","Myth, Literature and the African World","Single Author|Full Length","1976","['recqjzd8XHCYYoJZN']","['recRPTnrNPU6ArRJv']","","",""," - ","","","True","['recZ9utW1f9nAf6WT']"
"Body bereft (2006)","Body bereft","Single Author|Selected Works","2006","['recXTnqUtYDNCBqk0']","['recByKWBNYTnFNrCp']","","",""," - ","","['recaQm0PLvBgLGnn6']","",""
"Almost posthumously (1995)","Almost posthumously","Single Author|Selected Works","1995","","","","",""," - ","","['rec6lJgqFsZZ3qDmt']","",""
"Sirens, Knuckles, Boots. Mbari Publications, 1963. (1963)","Sirens, Knuckles, Boots. Mbari Publications, 1963.","Single Author|Selected Works","1963","['recsbhF8jfAiLQIpI']","","","",""," - ","","['recI17CHnkVjh8NVk', 'rec9ZFl6o1GmDSYFc', 'recpaSpB6ynOlx7Bb', 'rec7zso3oMvzoQoyj', 'recxb7HmvLk429CkT', 'rec65G5khXKcXOb4C', 'recbnmBS0ONBROoEc', 'rec4U8YNrfwAhKsY7', 'recYDxiakrUqY1NaM']","","['recENYPFi07koxKf6']"
"Little Snake and Little Frog (1981)","Little Snake and Little Frog","Single Author|Full Length","1981","['recxs7nr1XEK0p7Jk']","['recR6YHhrfthZo5tS']","","",""," - ","","['recoxktjEASZDeznX']","",""
"Heartlands (2002)","Heartlands","Single Author|Selected Works","2002","['rec1A03SZHyn2YohP']","['reckyxi4BnnhhZ5nF']","","",""," - ","","['recHmBuBWZZySRggb']","",""
"Dreams At Work and Other Poems (2000)","Dreams At Work and Other Poems","Single Author|Selected Works","2000","['recrludAIg5YRTHRq']","['rechXxEReQlGKd2ar']","","",""," - ","","['recsqytjDFpEYLtLf']","",""
"Silence in Jail (1979)","Silence in Jail","Single Author|Collected Works","1979","['recQQS8MSKQcL0d9f']","","","",""," - ","","['recDFuy5Pnfc0xsjW']","",""
"Third World Express (1992)","Third World Express","Single Author|Selected Works","1992","['rec0AXobCaUyqEPsH']","['recByKWBNYTnFNrCp']","","",""," - ","","['rececSykErJIyRNeU']","",""
"Until the Morning After: Collected Poems, 1963 1985 (1987)","Until the Morning After: Collected Poems, 1963 1985","Single Author|Collected Works","1987","['recdiyuHnz0tGPTmX']","['recRPTnrNPU6ArRJv']","","",""," - ","","['recm597KFO5mUK0DL']","",""
"A.R.T.H.U.R & M.A.R.T.H.A.: Or the Loves of a Computer (1980)","A.R.T.H.U.R & M.A.R.T.H.A.: Or the Loves of a Computer","Single Author|Selected Works","1980","['recUKG6AwVerXA0Aj']","['recRvpdBSno7RDhjZ']","","",""," - ","","","",""
