title,authors,pub_title,pub_date,pub_issuenum,start_page,subjects,citation,url,doc_id,dvi_type,image_url
Obituary,,The Times,"June 30, 1971",58212,16,['Poets'],"""Obituary."" Times, 30 June 1971, p. 16. The Times Digital Archive.",https://link.gale.com/apps/doc/CS271676638/TTDA?u=linc74325&sid=gale_api&xid=17850847,GALE|CS271676638,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1971-JUN30-016']
Stranger's Voice,['Hugo Young'],The Sunday Times,"May 6, 1973",7821,41,,"Young, Hugo. ""Stranger's Voice."" Sunday Times, 6 May 1973, p. 41. The Sunday Times Historical Archive.",https://link.gale.com/apps/doc/FP1800587512/STHA?u=linc74325&sid=gale_api&xid=57d1fbe9,GALE|FP1800587512,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/STHA-1973-0506-0041']
News in Brief,,The Times,"September 17, 1975",59503,6,,"""News in Brief."" Times, 17 Sept. 1975, p. 6. The Times Digital Archive.",https://link.gale.com/apps/doc/CS101940529/TTDA?u=linc74325&sid=gale_api&xid=2f3ba7ca,GALE|CS101940529,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1975-SEP17-006']
Apartheid's arch-enemy wins right of asylum,['Trevor Fishlock'],The Times,"September 8, 1983",61632,5,"['Deportation', 'Apartheid', 'Right of asylum', 'Brutus, Dennis']","Fishlock, Trevor. ""Apartheid's arch-enemy wins right of asylum."" Times, 8 Sept. 1983, p. 5. The Times Digital Archive.",https://link.gale.com/apps/doc/CS85167400/TTDA?u=linc74325&sid=gale_api&xid=3c5eadc1,GALE|CS85167400,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1983-SEP08-005']
News in Brief,,The Times,"April 25, 1967",56924,4,"['Campbell, Roy']","""News in Brief."" Times, 25 Apr. 1967, p. 4. The Times Digital Archive.",https://link.gale.com/apps/doc/CS67726489/TTDA?u=linc74325&sid=gale_api&xid=6abf7a81,GALE|CS67726489,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1967-APR25-004']
Shaka's Bracelet For Zulus,,The Times,"March 8, 1957",53784,9,"['Zulu Kingdom, 1817-1879']","""Shaka's Bracelet For Zulus."" Times, 8 Mar. 1957, p. 9. The Times Digital Archive.",https://link.gale.com/apps/doc/CS152524904/TTDA?u=linc74325&sid=gale_api&xid=73293711,GALE|CS152524904,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1957-MAR08-009']
Elysée hosts stars of human rights,['Diana Geddes'],The Times,"June 1, 1985",62153,6,['Human rights'],"Geddes,, Diana. ""Elysée hosts stars of human rights."" Times, 1 June 1985, p. 6. The Times Digital Archive.",https://link.gale.com/apps/doc/CS101159105/TTDA?u=linc74325&sid=gale_api&xid=0b0d1b99,GALE|CS101159105,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1985-JUN01-006']
Focus on a medieval African civilization,['Thomas Decker'],The Times,"June 29, 1972",58517,16,,"Decker, Thomas. ""Focus on a medieval African civilization."" Times, 29 June 1972, p. 16. The Times Digital Archive.",https://link.gale.com/apps/doc/CS268924637/TTDA?u=linc74325&sid=gale_api&xid=2df39b7b,GALE|CS268924637,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1972-JUN29-016']
Sportsman And Poet,,The Times,"September 19, 1963",55810,9,"['Poets', 'Brutus, Dennis']","""Sportsman And Poet."" Times, 19 Sept. 1963, p. 9. The Times Digital Archive.",https://link.gale.com/apps/doc/CS152003891/TTDA?u=linc74325&sid=gale_api&xid=0001d3c8,GALE|CS152003891,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1963-SEP19-009']
Poet among the Presidents of Africa,['John Young'],The Times,"December 17, 1973",58966,14,['Poets'],"Young, John. ""Poet among the Presidents of Africa."" Times, 17 Dec. 1973, p. 14. The Times Digital Archive.",https://link.gale.com/apps/doc/CS235764113/TTDA?u=linc74325&sid=gale_api&xid=e9558a87,GALE|CS235764113,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1973-DEC17-014']
Poetry Gala,['Julian Jebb'],Financial Times,"February 4, 1969","24,764",3,"['Poets', 'Pound, Ezra']","Jebb, Julian. ""Poetry Gala."" Financial Times, 4 Feb. 1969, p. 3. Financial Times Historical Archive.",https://link.gale.com/apps/doc/HS2300914937/FTHA?u=linc74325&sid=gale_api&xid=6c81dbd1,GALE|HS2300914937,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/FTDA-1969-0204-0003']
SPRING ANNOUNCEMENTS,,The Times Literary Supplement,"February 28, 1935",1726,123,,"""SPRING ANNOUNCEMENTS."" The Times Literary Supplement, no. 1726, 28 Feb. 1935, p. 123. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200048505/TLSH?u=linc74325&sid=gale_api&xid=55097e8e,GALE|EX1200048505,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1935-0228-0011']
Longmans,,The Times Literary Supplement,"June 17, 1949",2472,397,,"""Longmans."" The Times Literary Supplement, no. 2472, 17 June 1949, p. 397. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200286322/TLSH?u=linc74325&sid=gale_api&xid=636b913d,GALE|EX1200286322,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1949-0617-0017']
"AFRICAN ULTRA-ROYALISM.-The following ode from the Timbuctoo Anthology, in the New Monthly Magazine, is",,The Times,"July 7, 1824",12384,3,['Periodicals'],"""AFRICAN ULTRA-ROYALISM.-The following ode from the Timbuctoo Anthology, in the New Monthly Magazine, is."" Times, 7 July 1824, p. 3. The Times Digital Archive.",https://link.gale.com/apps/doc/CS51007207/TTDA?u=linc74325&sid=gale_api&xid=be906ec8,GALE|CS51007207,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1824-JUL07-003']
African Honeymoon,,The Sunday Times,"March 26, 1972",7763,57[S],,"""African Honeymoon."" The Sunday Times Magazine. Sunday Times, 26 Mar. 1972, pp. 57[S]+. The Sunday Times Historical Archive.",https://link.gale.com/apps/doc/FP1802532832/STHA?u=linc74325&sid=gale_api&xid=b8a65bb3,GALE|FP1802532832,NewsPaper,"['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/STHA-1972-0326-0121', 'https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/STHA-1972-0326-0123', 'https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/STHA-1972-0326-0125', 'https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/STHA-1972-0326-0127', 'https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/STHA-1972-0326-0129', 'https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/STHA-1972-0326-0130']"
S. A. Professor Resigns,,Financial Times,"June 22, 1973","26,090",,,"""S. A. Professor Resigns."" Financial Times, 22 June 1973. Financial Times Historical Archive.",https://link.gale.com/apps/doc/HS2300986965/FTHA?u=linc74325&sid=gale_api&xid=1a0c4301,GALE|HS2300986965,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/FTDA-1973-0622-0033']
Coloured academics refuse to take part in 'witch-hunt',,The Times,"June 18, 1973",58811,4,"['Cabinet officials', 'University of the Western Cape']","""Coloured academics refuse to take part in 'witch-hunt'."" Times, 18 June 1973, p. 4. The Times Digital Archive.",https://link.gale.com/apps/doc/CS68516050/TTDA?u=linc74325&sid=gale_api&xid=6e723a93,GALE|CS68516050,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1973-JUN18-004']
News in Brief,,The Times,"March 10, 1978",60253,1,,"""News in Brief."" Times, 10 Mar. 1978, p. 1. The Times Digital Archive.",https://link.gale.com/apps/doc/CS17924714/TTDA?u=linc74325&sid=gale_api&xid=d7853552,GALE|CS17924714,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1978-MAR10-001']
The language for poets,['Louis Heren'],The Times,"March 11, 1978",60254,12,['Poets'],"Heren, Louis. ""The language for poets."" Times, 11 Mar. 1978, p. 12. The Times Digital Archive.",https://link.gale.com/apps/doc/CS201687659/TTDA?u=linc74325&sid=gale_api&xid=76554ecc,GALE|CS201687659,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1978-MAR11-012']
Lebanese Factions in Rocket Duel,,Financial Times,"August 21, 1985","29,707",[1],,"""Lebanese Factions in Rocket Duel."" Financial Times, 21 Aug. 1985, p. [1]. Financial Times Historical Archive.",https://link.gale.com/apps/doc/HS2304534627/FTHA?u=linc74325&sid=gale_api&xid=4a52c57a,GALE|HS2304534627,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/FTDA-1985-0821-0001']
Pretoria judge delays hanging,['Ray Kennedy'],The Times,"August 21, 1985",62222,1,,"Kennedy, Ray. ""Pretoria judge delays hanging."" Times, 21 Aug. 1985, p. 1. The Times Digital Archive.",https://link.gale.com/apps/doc/CS18452757/TTDA?u=linc74325&sid=gale_api&xid=071dd0cc,GALE|CS18452757,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1985-AUG21-001']
Black poet will hang on Friday after Botha rules out retrial,['Michael Hornsby'],The Times,"October 16, 1985",62270,9,"['Poets', 'Murder', 'Capital punishment']","Hornsby, Michael. ""Black poet will hang on Friday after Botha rules out retrial."" Times, 16 Oct. 1985, p. 9. The Times Digital Archive.",https://link.gale.com/apps/doc/CS151228752/TTDA?u=linc74325&sid=gale_api&xid=4bd0bc3d,GALE|CS151228752,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1985-OCT16-009']
Black poet defiant in face of death,['Ray Kennedy'],The Times,"October 18, 1985",62272,7,"['Poets', 'African National Congress']","Kennedy, Ray. ""Black poet defiant in face of death."" Times, 18 Oct. 1985, p. 7. The Times Digital Archive.",https://link.gale.com/apps/doc/CS118198610/TTDA?u=linc74325&sid=gale_api&xid=5fbe7db1,GALE|CS118198610,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1985-OCT18-007']
Violence Hits Central Johannesburg after Execution of Moloise,"['Jim Jones', 'Robert Mauthner', 'Stewart Fleming']",Financial Times,"October 19, 1985","29,757",[1],"['Violence', 'Thatcher, Margaret']","Jones, Jim, et al. ""Violence Hits Central Johannesburg after Execution of Moloise."" Financial Times, 19 Oct. 1985, pp. [1]+. Financial Times Historical Archive.",https://link.gale.com/apps/doc/HS2304543780/FTHA?u=linc74325&sid=gale_api&xid=2425e40d,GALE|HS2304543780,NewsPaper,"['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/FTDA-1985-1019-0001', 'https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/FTDA-1985-1019-0018']"
Jailed writer offered to work for police,['Nicholas Ashford'],The Times,"July 13, 1977",60054,8,['Political parties'],"Ashford, Nicholas. ""Jailed writer offered to work for police."" Times, 13 July 1977, p. 8. The Times Digital Archive.",https://link.gale.com/apps/doc/CS134709485/TTDA?u=linc74325&sid=gale_api&xid=c5bf9c75,GALE|CS134709485,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1977-JUL13-008']
The Times Profile,"['Breyten Breytenbach', 'Donald Woods']",The Times,"April 26, 1984",61815,10,['Covert operations'],"Breytenbach, Breyten, and Donald Woods. ""The Times Profile."" Times, 26 Apr. 1984, p. 10. The Times Digital Archive.",https://link.gale.com/apps/doc/CS168005274/TTDA?u=linc74325&sid=gale_api&xid=81e58790,GALE|CS168005274,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1984-APR26-010']
South African wins Booker prize,['Philip Howard'],The Times,"October 27, 1983",61674,1,['Literary prizes'],"Howard,, Philip. ""South African wins Booker prize."" Times, 27 Oct. 1983, p. 1. The Times Digital Archive.",https://link.gale.com/apps/doc/CS17665371/TTDA?u=linc74325&sid=gale_api&xid=dfb7ade4,GALE|CS17665371,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1983-OCT27-001']
Why South Africa put its leading Afrikaans poet on trial,['Nicholas Ashford'],The Times,"November 24, 1975",59560,16,['Poets'],"Ashford, Nicholas. ""Why South Africa put its leading Afrikaans poet on trial."" Times, 24 Nov. 1975, p. 16. The Times Digital Archive.",https://link.gale.com/apps/doc/CS268664184/TTDA?u=linc74325&sid=gale_api&xid=e6d4f93f,GALE|CS268664184,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1975-NOV24-016']
Jailed poet wins South African literary award,,The Times,"March 3, 1977",59948,7,"['Literary prizes', 'Poets']","""Jailed poet wins South African literary award."" Times, 3 Mar. 1977, p. 7. The Times Digital Archive.",https://link.gale.com/apps/doc/CS118718563/TTDA?u=linc74325&sid=gale_api&xid=7501cf8f,GALE|CS118718563,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1977-MAR03-007']
Nine years jail for Afrikaans poet,['Nicholas Ashford'],The Times,"November 27, 1975",59563,8,"['Poets', 'Breytenbach, Breyten']","Ashford, Nicholas. ""Nine years jail for Afrikaans poet."" Times, 27 Nov. 1975, p. 8. The Times Digital Archive.",https://link.gale.com/apps/doc/CS135495035/TTDA?u=linc74325&sid=gale_api&xid=77373276,GALE|CS135495035,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1975-NOV27-008']
Poet tells court of 'walled pit' in prison,['From Our Correspondent'],The Times,"July 7, 1977",60049,9,"['Terrorists', 'Poets', 'Prisons']","From Our Correspondent. ""Poet tells court of 'walled pit' in prison."" Times, 7 July 1977, p. 9. The Times Digital Archive.",https://link.gale.com/apps/doc/CS152535271/TTDA?u=linc74325&sid=gale_api&xid=91c7bcc1,GALE|CS152535271,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1977-JUL07-009']
Poet fights apartheid with his pen,,The Times,"December 7, 1982",61408,6,"['Apartheid', 'Poets']","""Poet fights apartheid with his pen."" Times, 7 Dec. 1982, p. 6. The Times Digital Archive.",https://link.gale.com/apps/doc/CS101944199/TTDA?u=linc74325&sid=gale_api&xid=4e0e677b,GALE|CS101944199,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1982-DEC07-006']
Afrikaans poet released,['Michael Hornsby'],The Times,"December 6, 1982",61407,5,"['Poets', 'Breytenbach, Breyten']","Hornsby, Michael. ""Afrikaans poet released."" Times, 6 Dec. 1982, p. 5. The Times Digital Archive.",https://link.gale.com/apps/doc/CS84118406/TTDA?u=linc74325&sid=gale_api&xid=09dfbbfc,GALE|CS84118406,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1982-DEC06-005']
South African poet faces the death penalty,,The Times,"November 11, 1975",59550,5,"['Poets', 'Capital punishment']","""South African poet faces the death penalty."" Times, 11 Nov. 1975, p. 5. The Times Digital Archive.",https://link.gale.com/apps/doc/CS84508011/TTDA?u=linc74325&sid=gale_api&xid=b01910ef,GALE|CS84508011,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1975-NOV11-005']
Senghor of Senegal Steps down,['Susan Morgan'],Financial Times,"December 31, 1980","28,358",3,,"Morgan, Susan. ""Senghor of Senegal Steps down."" Financial Times, 31 Dec. 1980, p. 3. Financial Times Historical Archive.",https://link.gale.com/apps/doc/HS2304405368/FTHA?u=linc74325&sid=gale_api&xid=aa7e3211,GALE|HS2304405368,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/FTDA-1980-1231-0003']
The African Renaissance,['T. L. Hodgkin'],The Listener,"August 15, 1957",1481,,"['Africans', 'Europeans', 'Senghor, Léopold Sédar']","Hodgkin, T. L. ""The African Renaissance."" The Listener, vol. 58, no. 1481, 15 Aug. 1957. The Listener Historical Archive, 1929-1991.",https://link.gale.com/apps/doc/GM2500105056/LSNR?u=linc74325&sid=gale_api&xid=74cdefd0,GALE|GM2500105056,NewsPaper,"['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/LSNR-1957-0815-0003', 'https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/LSNR-1957-0815-0004', 'https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/LSNR-1957-0815-0020']"
The Lyrics of the President,"['Gerald Holyoake Moore', 'Gerald Moore']",The Times Literary Supplement,"July 13, 1973",3723,794,,"Moore, Gerald Holyoake, and Gerald Moore. ""The Lyrics of the President."" The Times Literary Supplement, no. 3723, 13 July 1973, p. 794. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200534963/TLSH?u=linc74325&sid=gale_api&xid=05d3a305,GALE|EX1200534963,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1973-0713-0002']
Senegal's shining beacon,['Roland Oliver'],The Times Literary Supplement,"September 14, 1990",4563,966,,"Oliver, Roland. ""Senegal's shining beacon."" The Times Literary Supplement, no. 4563, 14 Sept. 1990, p. 966. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200177419/TLSH?u=linc74325&sid=gale_api&xid=02e826a0,GALE|EX1200177419,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1990-0914-0006']
News in Brief,,The Times,"September 6, 1960",54869,8,,"""News in Brief."" Times, 6 Sept. 1960, p. 8. The Times Digital Archive.",https://link.gale.com/apps/doc/CS136535846/TTDA?u=linc74325&sid=gale_api&xid=d2bfa688,GALE|CS136535846,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1960-SEP06-008']
Poetic Licence for Democracy,['Susan Morgan'],Financial Times,"May 12, 1977","27,269",7,"['Poets', 'Democracy', 'Senghor, Léopold Sédar']","Morgan, Susan. ""Poetic Licence for Democracy."" Financial Times, 12 May 1977, p. 7. Financial Times Historical Archive.",https://link.gale.com/apps/doc/HS2305561399/FTHA?u=linc74325&sid=gale_api&xid=0b8a3301,GALE|HS2305561399,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/FTDA-1977-0512-0007']
President Poet,,Financial Times,"October 25, 1961","22,529",10,['Poets'],"""President Poet."" Financial Times, 25 Oct. 1961, p. 10. Financial Times Historical Archive.",https://link.gale.com/apps/doc/HS2300830061/FTHA?u=linc74325&sid=gale_api&xid=14bb6880,GALE|HS2300830061,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/FTDA-1961-1025-0010']
Letter from... Touba,,The Times Literary Supplement,"August 31, 2001",5135,13,,"""Letter from... Touba."" The Times Literary Supplement, no. 5135, 31 Aug. 2001, p. 13. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200505486/TLSH?u=linc74325&sid=gale_api&xid=1f682097,GALE|EX1200505486,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-2001-0831-0013']
Poet of Senegal,"['Gerald Holyoake Moore', 'G. MOORE']",The Times Literary Supplement,"September 21, 1962",3160,703,,"Moore, Gerald Holyoake, and G. MOORE. ""Poet of Senegal."" The Times Literary Supplement, no. 3160, 21 Sept. 1962, p. 703. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200129439/TLSH?u=linc74325&sid=gale_api&xid=245707ff,GALE|EX1200129439,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1962-0921-0007']
Praise poet in Paris,['Sheila Mason'],The Times Literary Supplement,"April 28, 2000",5065,24,"['Dixon, Melvin']","Mason, Sheila. ""Praise poet in Paris."" The Times Literary Supplement, no. 5065, 28 Apr. 2000, p. 24. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200499729/TLSH?u=linc74325&sid=gale_api&xid=e43b89f0,GALE|EX1200499729,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-2000-0428-0024']
London Diary,,The Sunday Times,"October 29, 1961",7224,6,,"""London Diary."" Sunday Times, 29 Oct. 1961, p. 6. The Sunday Times Historical Archive.",https://link.gale.com/apps/doc/FP1800533599/STHA?u=linc74325&sid=gale_api&xid=bd36b504,GALE|FP1800533599,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/STHA-1961-1029-0006']
University news,,The Times,"October 27, 1973",58924,16,"['Universities and colleges', 'College presidents']","""University news."" Times, 27 Oct. 1973, p. 16. The Times Digital Archive.",https://link.gale.com/apps/doc/CS270760283/TTDA?u=linc74325&sid=gale_api&xid=bcdf2749,GALE|CS270760283,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1973-OCT27-016']
Picture Gallery,,The Times,"June 19, 1971",58203,4,['Political parties'],"""Picture Gallery."" Times, 19 June 1971, p. 4. The Times Digital Archive.",https://link.gale.com/apps/doc/CS68252883/TTDA?u=linc74325&sid=gale_api&xid=51532966,GALE|CS68252883,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1971-JUN19-004']
"No lies, no half-truths: a writer's cup of bitterness runs over",,The Times,"October 9, 1972",58600,X,"['Playwrights', 'Soyinka, Wole']","""No lies, no half-truths: a writer's cup of bitterness runs over."" Times, 9 Oct. 1972, p. X. The Times Digital Archive.",https://link.gale.com/apps/doc/CS570652489/TTDA?u=linc74325&sid=gale_api&xid=2c9e7238,GALE|CS570652489,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1972-OCT09-034']
For Christopher Okigbo,,The Times,"October 9, 1972",58600,X,"['Rituals', 'Okigbo, Christopher']","""For Christopher Okigbo."" Times, 9 Oct. 1972, p. X. The Times Digital Archive.",https://link.gale.com/apps/doc/CS570914633/TTDA?u=linc74325&sid=gale_api&xid=080f83c1,GALE|CS570914633,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1972-OCT09-034']
Voyage Round Soyinka,,Financial Times,"March 17, 1990","31,101",XX,"['Soyinka, Wole']","""Voyage Round Soyinka."" Financial Times, 17 Mar. 1990, p. XX. Financial Times Historical Archive.",https://link.gale.com/apps/doc/HS2304028407/FTHA?u=linc74325&sid=gale_api&xid=d00cac23,GALE|HS2304028407,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/FTDA-1990-0317-0042']
The Winter's Tale,,Financial Times,"April 4, 2009","36,967",18,,"""The Winter's Tale."" Life&arts. Financial Times, 4 Apr. 2009, p. 18. Financial Times Historical Archive.",https://link.gale.com/apps/doc/HS2307336688/FTHA?u=linc74325&sid=gale_api&xid=efa225db,GALE|HS2307336688,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/FTDA-2009-0404-0052']
Today's Television,,Financial Times,"December 12, 1996","33,164",17,['Human rights'],"""Today's Television."" Financial Times, 12 Dec. 1996, p. 17. Financial Times Historical Archive.",https://link.gale.com/apps/doc/HS2305176643/FTHA?u=linc74325&sid=gale_api&xid=485acba4,GALE|HS2305176643,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/FTDA-1996-1212-0017']
Negro Theatre Workshop,,Financial Times,"September 3, 1965","23,713",22,,"""Negro Theatre Workshop."" Financial Times, 3 Sept. 1965, p. 22. Financial Times Historical Archive.",https://link.gale.com/apps/doc/HS2301107281/FTHA?u=linc74325&sid=gale_api&xid=a219097b,GALE|HS2301107281,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/FTDA-1965-0903-0022']
Playwright in Search of a Role,,Financial Times,"June 10, 2003","35,166",V,['Playwrights'],"""Playwright in Search of a Role."" FT Special Report Nigeria. Financial Times, 10 June 2003, p. V. Financial Times Historical Archive.",https://link.gale.com/apps/doc/HS2304108033/FTHA?u=linc74325&sid=gale_api&xid=d2cc6146,GALE|HS2304108033,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/FTDA-2003-0610-0061']
Outspoken Man of Letters,,Financial Times,"March 7, 1988","30,482",XVI,"['Playwrights', 'Soyinka, Wole']","""Outspoken Man of Letters."" Nigeria: Financial Times Survey. Financial Times, 7 Mar. 1988, p. XVI. Financial Times Historical Archive.",https://link.gale.com/apps/doc/HS2305688327/FTHA?u=linc74325&sid=gale_api&xid=fdfcde61,GALE|HS2305688327,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/FTDA-1988-0307-0046']
Local Election Test for Nigerian Regime,['Antony Goldman'],Financial Times,"March 14, 1997","33,240",4,,"Goldman, Antony. ""Local Election Test for Nigerian Regime."" Financial Times, 14 Mar. 1997, p. 4. Financial Times Historical Archive.",https://link.gale.com/apps/doc/HS2305913608/FTHA?u=linc74325&sid=gale_api&xid=47afc7af,GALE|HS2305913608,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/FTDA-1997-0314-0004']
Nigeria protests grow as president clings to power,['Tom Burgis'],Financial Times,"January 13, 2010","37,206",5,,"Burgis, Tom. ""Nigeria protests grow as president clings to power."" Financial Times, 13 Jan. 2010, p. 5. Financial Times Historical Archive.",https://link.gale.com/apps/doc/HS2307262925/FTHA?u=linc74325&sid=gale_api&xid=56fea0c3,GALE|HS2307262925,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/FTDA-2010-0113-0005']
Arts Council Awards for Two Playwrights,,Financial Times,"June 30, 1967","24,272",26,"['Playwrights', 'Whiting, John Robert']","""Arts Council Awards for Two Playwrights."" Financial Times, 30 June 1967, p. 26. Financial Times Historical Archive.",https://link.gale.com/apps/doc/HS2302880646/FTHA?u=linc74325&sid=gale_api&xid=9ca4c068,GALE|HS2302880646,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/FTDA-1967-0630-0026']
Lion and the Jewel,['B. A. Young'],Financial Times,"December 13, 1966","24,106",22,,"Young, B. A. ""Lion and the Jewel."" Financial Times, 13 Dec. 1966, p. 22. Financial Times Historical Archive.",https://link.gale.com/apps/doc/HS2302868830/FTHA?u=linc74325&sid=gale_api&xid=e85738ca,GALE|HS2302868830,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/FTDA-1966-1213-0022']
How it is that things haven't fallen apart,['Helon Habila'],Financial Times,"September 30, 2010","37,428",7,,"Habila, Helon. ""How it is that things haven't fallen apart."" Nigeria at 50. Financial Times, 30 Sept. 2010, p. 7. Financial Times Historical Archive.",https://link.gale.com/apps/doc/HS2307303293/FTHA?u=linc74325&sid=gale_api&xid=72ffdb18,GALE|HS2307303293,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/FTDA-2010-0930-0051']
Awards and Prizes in 1986,,Financial Times,"December 27, 1986","30,119",XII,"['Literary prizes', 'Nobel laureates']","""Awards and Prizes in 1986."" Financial Times, 27 Dec. 1986, p. XII. Financial Times Historical Archive.",https://link.gale.com/apps/doc/HS2304968741/FTHA?u=linc74325&sid=gale_api&xid=a17d15ce,GALE|HS2304968741,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/FTDA-1986-1227-0030']
