"airtableID","Unique-ID","Name last","Name given","Name alt","Name markdown","Featured","Ethnicity","Country of Nationality","Country","Region","Gender","birth-year","birth-decade","birth-place","birth_spatial.city","birth_spatial.country","death-year","death-place","Education","Selected Works Title","Poems","Poetry Collections","Speeches-Lectures-Interviews-Performances-Critical Media","Selected Works Years Published","Publisher Name","Publisher Location (City and Country","Languages spoken","Publisher Type","Authority","Bio","Bio Creator","Notes","Bio Sources (MLA)","Contact","Status","In the News?"
"recFTRCpNew1HR2bt","apdp.cap.000086","Doh","Emmanuel Fru","","[Doh, Emmanuel Fru](apdp.cap.000086)","","British Southern Cameroonian American","","Cameroon","Middle Africa","M","1960","1960","Mankon, Bamenda, British Southern Cameroon","""Mankon""","""British Southern Cameroon""","","N/A","The University of Ibadan, Nigeria – BA (Hons) English, 1984 The University of Ibadan, Nigeria - M.A. English (Lit. emphasis) 1987. The University of Ibadan, Nigeria - Ph.D. English 1990","
","","In the Color of My Skin (Langaa, Mankon, Bamenda, Cameroon, 2017); Before the Rainbow. (Langaa, Mankon, Bamenda, Cameroon, 2014); Shadows. (Langaa, Mankon, Bamenda, Cameroon, 2011); Oriki’badan. (Langaa, Mankon, Bamenda, Cameroon, 2009); Not Yet Damascus. (Langaa, Mankon, Bamenda, Cameroon, 2007); Wading the Tide (Patron Publishing House. Bamenda, 1995); Wading the Tide, (Kola Press, Bellingham WA, USA, 1998); Wading the Tide, (Langaa, Mankon-Bamenda, 2009).
","","","['Langaa', 'Patron Publishing House', 'Kola Press']","Bamenda, Cameroon; Bellingham, WA","Mankon, Pidgin, English, French","","https://viaf.org/viaf/17037401/","Emmanuel Fru Doh was born 1960 in British Southern Cameroon. His first poetry collection, Not Yet Damascus was published in 2007. He’s also the author of Oriki’badan (2009) and Shadows (2011). His work is known to address the socio-political state of affairs on the African continent and also draw attention to the exploitation and control of Cameroon under imperialism. He went to The University of Ibadan, Nigeria for his BA (Hons) English (1984), M.A. English- Lit. emphasis (1987) and Ph.D. in English (1990). Fru Doh currently teaches in the Department of English at Century College, Minnesota, U.S.A. where he is also Associate Editor of Phantasmagora.","Tryphena Yeboah","","Doh, Emmanuel Fru. “Oriki'badan.” Langaa Research and Publishing Common Initiative Group, 25 May 2018, https://www.langaa-rpcig.net/orikibadan/. Accessed 11 Apr 2022. “Emmanuel Fru Doh.” African Books Collective, https://www.africanbookscollective.com/authors-editors/emmanuel-fru-doh. Accessed 11 Apr 2022. Nji, Tem Edwin, and Collins Amara Nnyigide. “The Center-Margin Dialectics in the Poetry of Emmanuel Fru Doh and Bill F. Ndi.” The International Journal of Linguistics, Literature and Culture, vol. 06, no. 04, 2019. Accessed 11 Apr 2022.","","",""
"recV8L5TLnPLComrR","apdp.cap.000087","Dowling","Finuala","","[Dowling, Finuala](apdp.cap.000087)","","White South African","","South Africa","Southern Africa","F","1962","1960","Cape Town, South Africa","""Cape Town""","""South Africa""","","N/A","D.Litt.et phil (1995) University of South Africa MA (1986) University of Cape Town BA (HONS) (1983) University of Cape Town Matric (1979) Wynberg Girls High School","
","","Pretend You Don’t Know Me (Hexham, UK: Bloodaxe Books., 2018); Change is Possible (Halesworth, UK: The Poetry Trust,2014); Notes from the Dementia Ward (Cape Town: Kwela, 2008); Doo-Wop Girls of the Universe (Johannesburg: Penguin, 2006); I flying (Cape Town: Carapace., 2002)
","","","['Bloodaxe Books', 'The Poetry Trust', 'Penguin', 'Carapace']","Hexham, UK; Halesworth, UK; Capetown, SA; Johannesburg, SA","English (and conversational Afrikaans and French)","","https://viaf.org/viaf/39537935/","Finuala Dowling was born 1962 in Cape Town, South Africa. Her first poetry collection, I Flying (2002), was the recipient of the Ingrid Jonker Prize. Her other collections include winner of the Sanlam Award for Poetry, Doo-Wop Girls of the Universe, Penguin (2006), Notes from the Dementia Ward (2008) which won the Olive Schreiner Prize and Pretend You Don't Know Me (2008). She received an MA in English from the University of Cape Town (UCT) in 1986 and a D.Litt. from the University of South Africa (UNISA) in 1995. She was a Senior Lecturer at the Centre for Extra-Mural Studies, University of Cape Town from 2014-2021. Dowling is now a Freelance creative writing lecturer, and she also develops literary scripts which have been performed by John Maytham at a variety of venues in Western Cape.","Tryphena Yeboah","","Finuala Dowling. Blake Friedmann Literary Agency, http://blakefriedmann.co.uk/finuala-dowling. Accessed 10 Apr 2022. Finuala Dowling. Bloodaxe Books, https://www.bloodaxebooks.com/ecs/category/finuala-dowling. Accessed 10 Apr 2022. “Finuala Dowling.” Wikipedia, Wikimedia Foundation, 31 Mar. 2022, https://en.wikipedia.org/wiki/Finuala_Dowling. Accessed 10 Apr 2022.","","",""
"recthM7WaFEkizHIl","apdp.cap.000088","Du Plessis","Clinton V.","Vivian","[Du Plessis, Clinton V. 'Vivian'](apdp.cap.000088)","","","","South Africa","Southern Africa","M","","","","","","","","","","","","","","","","","","https://viaf.org/viaf/61153077/","","","","","","",""
"recib8RYq7HHEYhLq","apdp.cap.000406","Dzonze","Edward","","","","","Zimbabwe","Zimbabwe","Southern Africa","M","1990","1990","Rusape","","","","","","","","Many Truths Told At Once (2015, Royalty Publishing, USA), Wisdom Speaks (Royalty Publishing, USA, 2016), Breakfast with Marachera (2018, Diaspora Publishers, UK).
","<https://www.pressreader.com/canada/afro-poetry-times/20201001/281754156748065>
<https://allafrica.com/stories/201904220230.html>


","","","US and UK","English","","","Edward Dzonze was born in Zimbabwe. An award-winning poet, he is the author of ""Many Truths Told At Once; Wisdom Speaks & Breakfast"". With Marechera, he co-edited the Zimbolicious Poetry Series Volume 1 & 2. Dzonze has contributed to more than 15 other anthologies and journals across the globe and is currently working on his fifth poetry collection, Here We Stand.  He has been published in three anthologies to date; world peace anthology (India,2014), we are one (Diaspora Publishers, UK, 2014) and recently in New African Voices (2015 ). His poetry also appeared in numerous E-books, two of which compiled by the society of young Nigerian writers his poetry appears on more than 20 blogs and websites.


","Malik, Rasaq","","Edward, Dzonze. African Books Collective, https://www.africanbookscollective.com/authors-editors/edward-dzonze. Accessed 30 November 2022. 

Edward, Dzonze. Becoming The Muse, https://becomingthemuse.net/tag/edward-dzonze/. Accessed 30 November 2022. 

""The big interview Edward Dzonze."" https://www.pressreader.com/canada/afro-poetry-times/20201001/281754156748065. Accessed 30 November 2022.","","",""
"rec6MhSMeO3XvEdQP","apdp.cap.000089","Ebini","Christmas Atem","","[Ebini, Christmas Atem](apdp.cap.000089)","","","","Cameroon","Middle Africa","M","","","","","","","","","","","","","","","","","","https://viaf.org/viaf/26340686/","","","","","","",""
"reckYpghu0glbRWuP","apdp.cap.000090","Ebnu","Mohammed","","[Ebnu, Mohammed](apdp.cap.000090)","","","","Western Sahara","Northern Africa","","","","","","","","","","","","","","","","","","","","","","Found on Poetry Translation","","","",""
"recWo4jv4tBXzRUK8","apdp.cap.000091","Ede","Amatoritsero","""Godwin""","[Ede, Amatoritsero '""Godwin""'](apdp.cap.000091)","","","","Nigeria, Canada","Western Africa","M","1963","1960","Nigeria","","""Nigeria""","","N/A","BA & MA (Leibniz University, Hannover, Germany, 2002) PhD (Carleton University, 2013)","
","","Globetrotter & Hitler's Children (New York: Akashic Books, 2009); Collected Poems: A Writer's Pains & Caribbean Blues (Bremen, Germany: Yeti Press, 1998; Lagos, Nigeria: Oracle Books, 2002);Teardrops on the Weser (Owerri, Nigeria: Griots Lounge Publishing, 2021)
","","","","","English – Native speaker; German – Full working proficiency; Yoruba – Native speaker","","https://viaf.org/viaf/102734171/","Amatoritsero Ede was born in Nigeria in 1963. A teacher and an award-winning poet, Ede is the author of A Writer’s Pains & Caribbean Blues, his first poetry collection, which won the 1998 All Africa Okigbo Prize for Literature. His other collections are Globetrotter & Hitler’s Children (2009) and Teardrops on the Weser (2021). Ede attended Leibniz University, Hannover, Germany (BA and MA), and Carleton University, Ottawa, Canada (PhD), where he was the 2005–2006 Writer-in-Residence. He is the publisher and managing editor of Maple Tree Literary Supplement.","Uche Okonkwo
","","“Amatoritsero Ede.” Amazon.com, https://www.amazon.com/Amatoritsero-Ede/e/B0033AKP7M?ref=dbs_a_def_rwt_hsch_vu00_tkin_p1_i0 . Accessed 18 March 2022 “Amatoritsero Ede.” Wikipedia, https://en.wikipedia.org/wiki/Amatoritsero_Ede. Accessed 18 March 2022. “Curriculum Vitae, Amatoritsero Ede.” Academia.edu, https://mta-ca.academia.edu/AmatoritseroEde/CurriculumVitae. Accessed 18 March 2022. “Masthead.” Maple Tree Literary Supplement, https://www.mtls.ca/issue25/masthead/. Accessed 18 March 2022.","","",""
"recG15gtjoseu611c","apdp.cap.000092","Ehikhamenor","Victor","Ehighale","[Ehikhamenor, Victor 'Ehighale'](apdp.cap.000092)","","","","Nigeria","Western Africa","M","","","","","","","","","","","","","","","","","","https://viaf.org/viaf/48966873","","","","","","",""
"rec9UdSxfkQ1jEkbi","apdp.cap.000093","El Assimi","Malika","","[El Assimi, Malika](apdp.cap.000093)","","","","Morocco","Northern Africa","","","","","","","","","","","","","","","","","","","https://viaf.org/viaf/305977882","","","","","","",""
"recuuJPVDVkawc1uj","apdp.cap.000094","El Auofi","Boujem","","[El Auofi, Boujem](apdp.cap.000094)","","","","Morocco","Northern Africa","","","","","","","","","","","","","","","","","","","","","","Could this be ""Boujema""","","","",""
"recGSOOLjXLOugXS1","apdp.cap.000095","El-Dinosauri","Osama","","[El-Dinosauri, Osama](apdp.cap.000095)","","","","Egypt","Northern Africa","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rec0bOVIqjQacAhiE","apdp.cap.000096","El-Gabry","Magdy","","[El-Gabry, Magdy](apdp.cap.000096)","","","","Egypt","Northern Africa","","","","","","","","","","","","","","","","","","","","","","Found in Angry Voices Anthology","","","",""
"rec7CrI0hq0DncqY3","apdp.cap.000408","Elgezeery","Gamal","","","","","Egypt","Egypt","Northern Africa","M","","","","","","","","","","","Soul Gravity (2020, Langaa RPCIG, Cameroon), Little Red Riding Hood: From Orality to Carol Ann Duffy (Lambert Academic Publishing, Republic of Moldova), Human Objectification in Carol Ann Duffy’s The World Wife (2014, Lambert Academic Publishing, Republic of Moldova)
","","","['Langaa RPCIG']","Cameroon, Republic of Moldova","Arabic, English.","","","Gamal Elgezeery was born in 1973 in Egypt.  An award-winning poet, storywriter, novelist, critic, translator and academic, he has published 55 books in Arabic and English since 2001, including novels, poetry volumes, story collections, literary criticism, and translations. He is currently an associate professor of English literature at Taibah University, KSA. He teaches English literature and language courses at Suez University (Egypt) and Taibah University (Saudi Arabia). ","Malik, Rasaq","","""Elgeery, Gamal."" Langaa, https://www.langaa-rpcig.net/author/gamal-elgezeery/. Accessed 30 November 2022. 

Elgeery, Gamal."" African Books Collective, https://www.africanbookscollective.com/authors-editors/gamal-elgezeery. Accessed 30 November 2022.

Elgeery, Gamal."" African Digital Bookstore, https://www.librairienumeriqueafricaine.com/en/livrel/soul-gravity. Accessed 30 November 2022. ","","",""
"recQwiWXCGEzxsr8Y","apdp.cap.000097","Elhillo","Safia","","[Elhillo, Safia](apdp.cap.000097)","","Sudanese","","Sudan","Northern Africa","F","1990","1990","Rockville, Maryland","""Rockville""","""United States""","","N/A","Gallatin School (B.A); New York University; and The New School (MFA in Poetry)","
","","The Life and Times of Susie Knuckles (Well & Often Press, 2012),  Ars Poetica (MIEL, Belgium, 2016), A Suite for Ol' Dirty (MIEL, Belgium, 2016) Asmarani (Akashic Books, USA, 2016),  The January Children (University of Nebraska Press, USA, 2017), Home Is Not A Country (Make Me A World/Random House, UK, 2021), Girls That Never Die (One World/Random House, UK, 2022).
","","","['Well and Often Press', 'MIEL', 'Akashic Books', 'University of Nebraska', 'Make Me a World/Random House', 'One World/ Random House']","New York, USA; Belgium; Nebraska, USA; London, UK","Arabic and English","","https://viaf.org/viaf/105146461554227731538/","Safia Elhillo was born in 1990 in Rockville, Maryland. A Sudanese by way of Washington DC, Elhillo is an award-winning poet and the author of poetry books such as The Life and Times of Susie Knuckles (2012), ars poetica (2016), a suite for ol' dirty (2016) Asmarani (2016), The January Children (2017), Home Is Not A Country (2021), and Girls That Never Die (2022). Elhillo earned her B.A. at Gallatin School, New York University, and her MFA in Poetry at The New School. She received the Sillerman First Book Prize for African Poets and the Arab American Book Award in 2015 and 2018 respectively.","Rasaq Malik","","“Elhillo, Safia.” Poetry Foundation, https://www.poetryfoundation.org/poets/safia-elhillo Accessed March 15th, 2022. “Elhillo, Safia.” Wikipedia, https://en.wikipedia.org/wiki/Safia_Elhillo. Accessed March 13, 2022. “On Black and Arab Identities: Safia Elhillo’s Arab American Book Awards Acceptance.” Brittle Paper, https://brittlepaper.com/2018/11/safia-elhillo-takes-question-blackness-arab-identity/. Accessed March 14, 2022.","","",""
"","apdp.cap.000098","Ellams","Inua","","[Ellams, Inua](apdp.cap.000098)","","Nigerian","","Nigeria, United Kingdom","Western Africa","M","1984","1980","Jos, Nigeria","""Jos""","""Nigeria""","","N/A","Holland Park School, London (1997) Firhouse Community College, Dublin, Ireland (1999-2002)","
","","Thirteen Fairy Negro Tales (flipped eye, London, United Kingdom, 2005); Candy Coated Unicorns and Converse All Stars (flipped eye, London, United Kingdom, 2011); The Wire-Headed Heathen (Akashic Books, Brooklyn, New York, 2016); Afterhours (Nine Arches Press, 2017); The Actual (Penned in the Margins, London, UK, 2020)
","","","['Akashic Books', 'flipped eye publishing', 'Nine Arches Press', 'Penned in the Margins']","London, Uk; Brooklyn, NY","English","","https://viaf.org/viaf/106879285/","Inua Ellams was born 1984 in Jos, Nigeria and moved to England with his family when he was 12. Playwright, performer, and poet, he explores themes of identity, displacement, and destiny in his work. He is also known to incorporate hip pop rhymes in his writings and experiment with the blend of traditional and contemporary styles. He is a member of the Royal Society of Literature and has received several awards including the 2020 Hay Medal for Poetry, the 2019 Magma Poetry Prize, and the 2018 Winchester Poetry Prize. He first full-length poetry collection, The Actual (2020), was longlisted for the Derek Walcott Poetry Prize. Ellams studied at Firhouse Community College in Dublin, Ireland from 1999-2002 and in 2006, he attended a Poetry in Education Training programme by Apples and Snakes, UK’s leading spoken word organization. He lives in London.","Tryphena Yeboah","","“Inua Ellams.” Poetry Foundation, Poetry Foundation, https://www.poetryfoundation.org/poets/inua-ellams. Accessed Apr 14 2022. Inua Ellams, http://www.inuaellams.com/#about. Accessed Apr 14 2022. Nguyen, Dean Van. “'It Was Difficult Settling in to Dublin, Dealing with Racism and Ignorance'.” The Irish Times, The Irish Times, 18 May 2017, https://www.irishtimes.com/culture/stage/it-was-difficult-settling-in-to-dublin-dealing-with-racism-and-ignorance-1.3083480. Accessed Apr 14 2022. Ellams, Inua. Barber Shop Chronicles. Methuen Drama, Bloomsbury Publishing Plc., 2021. Accessed Apr 14 2022.","","",""
"","apdp.cap.000099","Ellis","Hugh","","[Ellis, Hugh](apdp.cap.000099)","","","","Namibia","Southern Africa","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","apdp.cap.000100","Elmi","Idris Yusuf","","[Elmi, Idris Yusuf](apdp.cap.000100)","","","","Djibouti","Eastern Africa","M","","","","","","","","","","","","","","","","","","https://viaf.org/viaf/49342208/","","","","","","",""
"","apdp.cap.000101","Eppel","John","","[Eppel, John](apdp.cap.000101)","","Zimbabwean","","Zimbabwe","Eastern Africa","M","1947","1940","Lydenburg, South Africa","""Lydenburg""","""South Africa""","","N/A","University of Natal in South Africa, MA English","
","","O Suburbia (Weaver Press, Harare, Zimbabwe, 2018); Landlocked (Smith/Doorstep, Sheffield, UK, 2016); Textures (with Togara Muzanenhamo) (‘amaBooks, Bulawayo, Zimbabwe, 2018); Hewn From Rock (with Philani Nyoni) (CreateSpace Publishing, California, USA, 2014); Together (with Julius Chingono) (UNO Press, New Orleans, 2011); White Man Crawling, (amaBooks, Bulawayo, Zimbabwe, 2007); Songs My Country Taught Me (Weaver Press, Harare, Zimbabwe, 2005); Eppel John Selected poems 1965-1995, (Childline, Bulawayo, Zimbabwe, 2001); Sonata for Matabeleland (Snailpress/Baobab Books, Harare, Zimbabwe, 1995); Spoils of War, (Carrefour, Cape Town, South Africa 1989).
","","","['Weaver Press', 'Smith/Doorstep', ""'amabooks"", 'CreateSpace', 'Uno Press', 'Carrefour']","Harare Zimbabwe; Sheffield, UK; Bulawayo, Zimbabwe; California, USA; New Orleans, USA; Cape Town, South Africa","English","","https://viaf.org/viaf/259565/","John Eppel was born 1947 in Lydenburg, South Africa and grew up at Colleen Bawn, Zimbabwe. He is the author of several books of poetry including Spoils of War (1989), which won the Ingrid Jonker prize, Songs My Sonata for Matabeleland (1995), Country Taught Me (2005). Poet and novelist, he is known to write about the indigenous white experience in Zimbabwe and incorporate satire in his work to criticize political and financial corruption in Zimbabwe. His goal with prose is “to ridicule greed, cruelty, self-righteousness and related vices like racism, sexism, jingoism, and homophobia.” He received an MA English from the University of Natal in South Africa and now teaches English at Christian Brothers College in Bulawayo.","Tryphena Yeboah","","“John Eppel.” African Books Collective, https://www.africanbookscollective.com/authors-editors/john-eppel. Accessed 10 Apr 2022. “John Eppel.” Wikipedia, Wikimedia Foundation, 10 June 2021, https://en.wikipedia.org/wiki/John_Eppel. Accessed 10 Apr 2022. “Interview: John Eppel.” Conversations with Writers, 1 Jan. 1970, http://conversationswithwriters.blogspot.com/2007/02/interview-with-poet-novelist-and.html. Accessed 10 Apr 2022. Killam, G. D., and Alicia L. Kerfoot. Student Encyclopedia of African Literature. Greenwood Press, 2008.","","",""
"","apdp.cap.000102","Etwebi","Ashur","","[Etwebi, Ashur](apdp.cap.000102)","","Libyan","","Libya, Norway","Northern Africa","M","1952","1950","Tripoli, Libya","""Tripoli""","""Libya""","","N/A","Bachelor’s degree in medicine, Tripoli University (1980) Doctorate degree, University College Galway, Ireland (1990)","
","","Balcony Poems/Qsaed Al-Shorfa (1993); Your Friends Passed Along This Way/Asdiqaoka Maro Min Hu (2002); Poems from Above the Hill: Selected Poems of Ashur Etwebi (2011), Anderson, S.C. : Parlor Press
","","","['Parlor Press']","Anderson, SC, USA","Arabic and Norwegian","","https://viaf.org/viaf/53816760/","Ashur Etwebi was born 1952 in Tripoli, Libya. He is the author of six poetry collections including Qsaed Al-Shorfa (Balcony Poems, 1993), Asdiqaoka Maro Min Hu (Your Friends Passed This Way, 2002), and Poems from Above the Hill: Selected Poems of Ashur Etwebi (2011). Poet, novelist and translator, his work reflect the culture, oral tradition and history of Libya and he also combines the traditional Libyan art of poetry with modern elements. After the fall of Muammar Gadafi, he played an important role in establishing cultural and literary festivals Libyan poetry. He received his Bachelor’s degree in medicine from Tripoli University in 1980 and his Doctorate degree from University College Galway, Ireland in 1990. Etwebi was a professor of medicine at the University of Zawia and he now lives in Norway.","Tryphena Yeboah","","“Ashur Etwebi (Al-Twebi) .” Banipal: Magazine of Modern Arab Literature, https://www.banipal.co.uk/contributors/775/ashur-etwebi/. Accessed 12 Apr 2022. “Ashur Etwebi.” International Cities of Refuge Network (ICORN), https://www.icorn.org/writer/ashur-etwebi. Accessed 12 Apr 2022. “Ashur Etwebi [ Libya, Norway ].” Internationales Literaturfestival Berlin, https://www.literaturfestival.com/autoren-en/autoren-2013-en/ashur-etwebi-1. Accessed 12 Apr 2022. Ṭuwaybī ʻĀshūr, et al. Poems from above the Hill: Selected Poems of Ashur Etwebi. Parlor Press, 2011. Accessed 12 Apr 2022. Joris, Pierre, and Habib Tengour. Poems for the Millennium. The University of California Book of North African Literature. University of California Press, 2012. Accessed 12 Apr 2022.","","",""
"","apdp.cap.000412","Fairhead","Barbara","","","","","South Africa","","","","1939","1930","United Kingdom","","","","","","","","Kin (Hands-On Books, South Africa, 2022), The Love Sheet by Barbara Fairhead and Jacques Coetzee, South Africa, 2017), Rio Abajo Rio (Hands-On Books, South Africa 2021). 
","","","","South Africa.","English","","","Barbara Fairhead was born in the UK in 1939, and has lived in South Africa since 1948. She is an award-winning artist, sculptor, fiction writer, and the lyricist for the band Red Earth & Rust. She has published two books of poetry which include ""And Now You Have Leapt Up To Swallow the Sun"" (1997) and ""Word and Bead: The Presentation of a Journey"" (2001). Her first novel, ""Of Death and Beauty"" was published in 2013 by Sunstone Press, Santa Fe, New Mexico. Its sequel, ""Whereof One Cannot Speak"" was published in 2017.

","Malik, Rasaq","","""Barbara, Fairhead."" Barnes and Noble, https://www.barnesandnoble.com/w/rio-abajo-rio-barbara-grenfell-fairhead/1140400223. Accessed 30 November 2022.

""Barbara, Fairhead."" Johannesburg Review od Books, https://johannesburgreviewofbooks.com/tag/barbara-fairhead/. Accessed 30 November 2022.

""Barbara, Fairhead."" Scribd, https://www.scribd.com/book/362061861/The-Love-Sheet. Accessed 30 November 2022. 


","","",""
"","apdp.cap.000103","Fathy","Safaa","","[Fathy, Safaa](apdp.cap.000103)","","Egyptian","","Egypt","Northern Africa","F","1958","1950","Minya, Egypt","""Minya""","""Egypt""","","N/A","Sorbonne (PhD, 1993)","
","","Revolution Goes Through Walls (Split Level, 2018); 
Al Haschiche (Ediciones Sin Nombre, Mexico, 2007); 
A Name to The Sea (Dar Al Nahda, Pub date unfound, Cairo.)
","","","['Split Level', 'Ediciones Sin Nombre', 'Dar Al Nahda']","Mexico; Cairo, Egypt","English, Arabic","","https://viaf.org/viaf/39557892/","Safaa Fathy was born in 1958 in Minya, Egypt. She studied English Literature at the University of Minia and moved to Paris in 1981 where she obtained a PhD from Sorbonne. She has written several books of poetry, including Revolution Goes Through Walls written in the wake of the 2011 Egyptian revolution and A Name to the Sea. Her films include Mohammad Saved from the Waters, a film poem titled Nom à la mer and Derrida’s Elsewhere about the famous philosopher Jacques Derrida with whom she collaborated frequently and shared a close relationship","Zainab Omaki","—waiting for more work","""Saved by Safaa Fathy."" Maysles Documentary Center. September 16, 2020. https://www.maysles.org/calendar/2020/9/16/saved-from-the-waters-films-by-safaa-fathy ""Safaa Fathy: Revealing The Poem: From Narrative to its Elemental Image."" The Cooper Union. May 5, 2020. ""https://cooper.edu/events-and-exhibitions/events/safaa-fathy-revealing-poem-narrative-its-elemental-image ""Safaa Fathy Welcome Page."" Safaa Fathy Official. http://safaafathy.org/en/. Accessed on April 9, 2022.","","",""
"","apdp.cap.000402","Finlay","Alan","","","","","South Africa","South Africa","Southern Africa","M","","","","","","","","Wits University, MA Media Studies","","","pushing from the riverbank_ _(Dye Hard Press, 2010), That kind of door (Deep South, 2018), Glass jars among trees: Prose and Poetry (Salafrance, Arja). 
","<https://dyehardinterviews.blogspot.com/2010/09/interview-with-alan-finlay.html>


","","['Dye Hard Press', 'Deep South']","Johannesburg, South Africa.","English","","","Alan Finlay is a writer, researcher and editor from Johannesburg. He is the author of poetry collections which include ""Burning Aloes"" (Dye Hard Press, 1994), ""No Free Sleeping"" with Donald Parenzee and Vonani Bila (Botsotso Publishing, 1998), ""The Red Laughter of Guns in Green Summer Rain"" – chainpoems with Philip Zhuwao (Dye Hard Press, 2002), and ""pushing from the bank (Dye Bank, 2010). In 1994, with Robert Berold, he co-edited a collection of Eastern Cape school poetry called Parking Space (Institute for the Study of English in Africa). He has also co-edited a collection of new South African prose and poetry with Arja Salafranca called glass jars among trees (Jacana, 2003). Alan’s recent collection, pushing from the riverbank, was published by Dye Hard Press in 2010. He teaches communications for social change at the Wits University Journalism Programme.","Malik, Rasaq","","""Finlay, Alan."" Peoney Moon, https://peonymoon.wordpress.com/tag/alan-finlay-poet/. Accessed November 19 2022.

Finlay, Alan. ""Poetry as intervention."" https://dyehardinterviews.blogspot.com/2010/09/interview-with-alan-finlay.html. Accessed November 19 2022.

Finlay, Alan. The Conversation, https://theconversation.com/profiles/alan-finlay-359990. Accessed November 19 2022.","","",""
"","apdp.cap.000104","Fortes","Corsino António","","[Fortes, Corsino António](apdp.cap.000104)","","","","Cape Verde","Western Africa","M","1933","1930","Mindelo, Cape Verde","""Mindelo""","""Cape Verde""","2015","Mindelo, Cape Verde","Law, University of Lisbon (1966)","
","","Pão & Fonema (1974), Lisbon: Sá da Costa editora Árvore & Tombor (1986), Lisbon : Inst. Caboverdiano do Livro Pedras de Sol & Substância (2001), Lisbon: Dom Quixote A cabeça calva de Deus (2001), Lisbon: Dom Quixote Sinos de Silencio (2015), Rosa de Porcelana Editora, Cape Verde
","","","['Sá da Costa editora Árvore & Tombor', 'Inst. Caboverdiano do Livro', 'Dom Quixote', 'Rosa de Porcelana Editora']","","Portuguese","","https://viaf.org/viaf/76333379/","Corsino António Fortes was born 1933 in Mindelo, Cape Verde. Poet and diplomat, he is known to explore his country’s independence and path to liberation in his writings, as well as themes of exile, oppression and identity. His first book, Pão & Fonema (1974), addressed the conditions of island populations under Portuguese rule where Cape Verdeans suffered from hunger. The poet engages the political and cultural aspects of the Cape Verdean life and captures the islands' distinctive African nature. Fortes served as the first Ambassador of Cape Verde to Portugal from 1975 until 1981. He was the president of the Association of Cape Verde Writers (2003-2006) and the founder of Cape Verdean Academy of Letters. He studied Law at the University of Lisbon in 1966 and worked as a professor and judge of the Labour Court.","Tryphena Yeboah","","“Corsino Fortes.” Wikipedia, Wikimedia Foundation, 17 Jan. 2022, https://en.wikipedia.org/wiki/Corsino_Fortes. Accessed 15 Apr 2022. “Corsino Fortes.” Casa Africa, 24 Aug. 2017, https://www.casafrica.es/en/person/corsino-fortes. Accessed 15 Apr 2022. Messerli, Douglas. “Corsino Fortes: The Poetics and Politics of Seduction.” Hyperallergic, 2 May 2015, https://hyperallergic.com/203201/corsino-fortes-the-poetics-and-politics-of-seduction/. Accessed 15 Apr 2022.","","",""
"","apdp.cap.000105","Fouad","Imad","","[Fouad, Imad](apdp.cap.000105)","","","","Egypt","Northern Africa","","","","","","","","","","","","","","","","","","","https://viaf.org/viaf/74167637","","","","","","",""
"","apdp.cap.000106","Fugard","Sheila Meiring","","[Fugard, Sheila Meiring](apdp.cap.000106)","","South African","","South Africa","Southern Africa","F","1932","1930","Birmingham, England","""Birmingham""","""England""","","N/A","University of Capetown (Diploma in Theater, Drama)","
","","Threshold (1975, Ad. Donker, Johannesburg, South Africa):
 Mystic Things (1981, Ad. Donker, Johannesburg, South Africa); 
The Magic Scattering Of A Life (2006, Firelizard, London)
","","","['Firelizard']","Johannesburg,  South Africa; London, UK","English","","https://viaf.org/viaf/2485138/","Sheila Meiring Fugard was born 1932 in Birmingham, England. At the age of 8, she relocated to South Africa where she studied as a drama student at the University of Cape Town. Poet and novelist, she’s the author of three poetry collections: Threshold (1975), Mystic Things (1981) and The Magic Scattering Of A Life (2006). After her marriage to playwright Athol Fugard in 1956, she was involved in acting and worked as a stage manager. Her first novel, The Castaways, won the Olive Schreiner Prize and CNA Literary Award for its striking exploration of South African history, themes of colonial conquest and the paranoia of apartheid and terrorism.","Tryphena Yeboah","","“Sheila Fugard.” Jonathan Ball Publishers, https://www.jonathanball.co.za/index.php?option=com_content&view=article&id=4073&Itemid=6. Accessed 12 Apr. 2022. “Sheila Meiring Fugard.” Wikipedia, Wikimedia Foundation, 30 Sept. 2021, https://en.wikipedia.org/wiki/Sheila_Meiring_Fugard. Accessed 12 Apr. 2022. Fugard, Sheila. “The Apprenticeship Years.” Twentieth Century Literature, vol. 39, no. 4, 1993, pp. 394–408, https://doi.org/10.2307/441574. Accessed 12 Apr. 2022. Titlestad, Michael Frank and Mike Kissack. ““I have always known shipwreck”: Whiteness in Sheila Fugard’s The Castaways.” Ariel-a Review of International English Literature 36 (2005): 135. “Three Poems -Sheila Fugard.” Mythopoetry Scholar , https://www.mythopoetry.com/mythopoetics/scholar11_fugard.html. Accessed 12 Apr. 2022.","","",""
