Id,unique_id,Article title,Document type,Content type,Article Date,Publication,Source page no,Source link,Gale ID,Source access date,Archive,Excerpt,Permissions
Poet tells court of 'walled pit' in prison (1977-07-07),apdp.cite.000096,Poet tells court of 'walled pit' in prison,News Report,Newspaper,1977-07-07,The Times,p. 9,"http://link.galegroup.com/apps/doc/CS152535271/GDCS?u=linc74325&sid=
GDCS&xid=ea05ad93",GALE|CS152535271,2019-06-29,The Times Digital Archive,"Breyten Breytenbach, the award-winning Afrikaans poet, described today how he began to ""doubt my sanity"" in the total isolation of the ""walled pit"" of his maximum security cell in Pretoria Central Prison. He was giving evidence for the second day running at the Pretoria Palace of Justice where he is on trial under the Terrorism Act and 17 other charges under the Riotous Assemblies and Prisons Acts.
...He is alleged to have tried to bribe a warden to let him escape.
Mr Breytenbach was arrested early in 1975 after he had returned to South Africa after years of self-imposed exile in Paris to organize white activists into bringing about radical change in South Africa.",© Times Newspapers Limited.
Poet fights apartheid with his pen (1982-12-07),apdp.cite.000097,Poet fights apartheid with his pen,News Report,Newspaper,1982-12-07,The Times,p. 6,"http://link.
galegroup.com/apps/doc/CS101944199/GDCS?u=linc74325&sid=GDCS&xid=60851a55",GALE|CS101944199,2019-06-29,The Times Digital Archive,"Mr Breyten Breytenbach, the Afrikaans poet, who arrived here on Sunday after being unexpectedly freed from prison in South Africa, said yesterday that he would not continue his political fight against apartheid.
""I realize that I am not a politician,"" he said in an television interview. ""But my whole life is against this type of situation, this type of ideology, in my private and professional life, as a poet and painter.""
Asking if he would continue his struggle through his poems and paintings, Mr Breytenbach said: ""Yes, that will be my way.""
Mr Breytenbach, aged 44, was released on Thursday after serving seven years of a nine-year sentence on charges of plotting to overthrow the South African Government. At his trial he had admitted actively supporting the banned African National Congress.
Looking fit and well, Mr Breytenbach said that he had seven years of poetry written in prison which he hoped to prepare for publication.",© Times Newspapers Limited.
Afrikaans poet released (1982-12-06),apdp.cite.000098,Afrikaans poet released,News Report,Newspaper,1982-12-06,The Times,p. 5,"http://link.galegroup.com/apps/doc/CS84118406/GDCS?u=linc74325&sid=GDCS&xid=
cace85b1",GALE|CS84118406,2019-06-29,The Times Digital Archive,"Mr Breyten Breytenbach, South Africa's most famous living Afrikaans poet, has been released from prison after serving seven of the nine years to which he was sentenced in 1975 for promoting the aims of the banned African National Congress (ANC).
By far the best known white political prisoner in South Africa, Mr Breytenbach is also the first prisoner of note to be freed under a new policy announced earlier this year by Mr Kobie Coetsee, the Minister of Justice, which makes it possible for those convicted of ""offenses against the security of the state"" to qualify for remission of sentence.
[Article continues to describe how political prisoners are chosen for release.]",© Times Newspapers Limited.
South African poet faces the death penalty (1975-11-11),apdp.cite.000099,South African poet faces the death penalty,News Report,Newspaper,1975-11-11,The Times,p. 5,https://link.gale.com/apps/doc/CS84508011/GDCS?u=linc74325&sid=GDCS&xid=24d5ea4b,GALE|CS84508011,,The Times Digital Archive,"Breyten Breytenbach, the anti-apartheid poet, was sent for trial in the Supreme Court today on charges carrying the death penalty.
Mr Breytenbach, aged 36, is accused under the Terrorism and Anti-Communism Acts of helping to set up an illegal organization to promote armed struggle in South Africa intended to overthrow the white government...
Mr Breytenbach is said to have been involved not only during his latest visit, but during a well-publicized visit in 1973, when he brought his wife. They are not allowed to live together under South African's racial laws.",© Times Newspapers Limited.
Senghor of Senegal Steps Down (1980-12-31),apdp.cite.000100,Senghor of Senegal Steps Down,News Report,Newspaper,1980-12-31,Financial Times,p. 3,"http://link.galegroup.com/apps/doc/HS2304405368/GDCS?u=
linc74325&sid=GDCS&xid=ff46f653",GALE|HS2304405368,2019-06-29,Financial Times Historical Archive,"President Leopold Sedar Senghor, 74, of Senegal steps down today after 20 years in office and is replaced by Mr. Abdou Diouf, who has been his Prime Minister for the past 10 years. It was essentially Senghors international stature as intellectual and world-renowned poet that put his poor and arid country on the map. Now by retiring to smooth the succession and in going against current African trends by recently setting up a functioning multi party democracy, Senghor has displayed an independence and foresight rare in the continent.",© The Financial Times Limited. All rights reserved.
The African Renaissance (1957-08-15),apdp.cite.000101,The African Renaissance,Critical Article,Newspaper,1957-08-15,The Listener , - ,http://link.galegroup.com/apps/doc/GM2500105056/GDCS?u=linc74325&sid=GDCS&xid=05e80f9c,GALE|GM2500105056,2019-06-29,The Listener Historical Archive,"The article frames the question of whether or not Africans can be held to the same esteem as Europeans; it suggests that Europeans have tried to assimilate African nations by having African nations adopt British public school systems, by requiring the learning of Latin, by teaching Hume and Ayer, Descartes ad Gilson. ""It wears academic dress, or drinks vermouth in cafes...when this elite wants to write poetry, or do scientific research, or run a business, or make political speeches, or philosophise, it is obliged as a rule to use a European language."" The article then asks: ""How can we make use of European ideas, institutions, and techniques, without becoming their prisoner--without ceasing to be African?"" ",© BBC logo 1996; BBC & THE LISTENER are trademarks of the British Broadcasting Corporation and are used under license.
The Lyrics of the President (1973-07-13),apdp.cite.000102,The Lyrics of the President,Book Review,Newspaper,1973-07-13,The Times Literary Supplement,p. 794,"http://link.galegroup.com/
apps/doc/EX1200534963/GDCS?u=linc74325&sid=GDCS&xid=634a1973",GALE|EX1200534963,2019-06-29,"""The Times Literary Supplement Historical Archive,""","""This appears to be the first book-length study of President Senghor's poetry available in English. That fact alone is surprising, when one reflects that the past few years have seen the appearance of studies of Chinua Achebe, Christopher Okigbo, Wole Soyinka (three), Mongo Beti, and Peter Abrahams...Nevertheless, his book has the important merits of being pleasant to read, freshly written, free from any thesis-like fussiness and innocent of obscurity.""",
Senegal's shining beacon (1990-09-14),apdp.cite.000103,Senegal's shining beacon,Book Review,Newspaper,1990-09-14,The Times Literary Supplement,p. 966,"http://link.galegroup.com/apps/doc/EX1200177419/GDCS?u=
linc74325&sid=GDCS&xid=7490e0bf",GALE|EX1200177419,2019-06-29,"""The Times Literary Supplement Historical Archive,""","Roland Oliver reviews Janet G. Vaillant's biography of Leopold Senghor. The book is ""directed far more towards Senghor's contribution as a poet and thinker than to his career as a politician and statesman"" which ""makes agreeable reading."" ",
Senegalese President (1960-09-06),apdp.cite.000105,Senegalese President,News Report,Newspaper,1960-09-06,The Times,p. 8,http://link.galegroup.com/apps/doc/CS136535846/GDCS?u=linc74325&sid=GDCS&xid=814523b1,GALE|CS136535846,2019-06-29,The Times Digital Archive,"M. Leopold Senghor, poet and statesman, was today elected unanimously as first President of the Senegalese Republic. The election which follows Senegal's breakaway last month from the Mali Federation with Sudan, was by an electoral college consisting of National Assembly deputies, and representatives of regional and municipal authorities.",© Times Newspapers Limited.
Poetic Licence for Democracy (1977-05-12),apdp.cite.000107,Poetic Licence for Democracy,News Report,Newspaper,1977-05-12,Financial Times,p. 7,"http://link.galegroup.com/apps/doc/HS2305561399/GDCS?u=linc74325&sid=
GDCS&xid=c6428711",GALE|HS2305561399,2019-06-29,Financial Times Historical Archive,"...President Senghor has decided to bring in a controlled multi-party system. This entails reversing the gradual accumulation of power in his own party, the Union Progressiste, which has happened over the 17 years since independence; it has already included the formation of at least two other parties, and will involve nationwide elections, to be held on the basis of proportional representation, in 1978. [Article continues to descirbe the process of developing this multi-party system and the opposition/critics of the system]",© The Financial Times Limited. All rights reserved.
President Poet (1961-10-25),apdp.cite.000108,President Poet,News Report,Newspaper,1961-10-25,Financial Times,p. 10,"http://link.
galegroup.com/apps/doc/HS2300830061/GDCS?u=linc74325&sid=GDCS&xid=4badeb88",GALE|HS2300830061,2019-06-29,Financial Times Historical Archive,"This week's visiting Head of State, M. Leopold Senghor of Senegal, is one of the most cultivated politicians in Africa - as befits the President of one of its most civilised republics. M. Senghor, 55 this month, is an able scholar, a former brilliant teacher in Paris and a considerable poet. Another distinction, by Senegal standards, is that he is Catholic. The country's population is predominantely Muslim, and Senghor's election seems to testify to the tolerance of both President and electorate... ",© The Financial Times Limited. All rights reserved.
Letter from... Touba (2001-08-31),apdp.cite.000109,Letter from... Touba,News Report,Newspaper,2001-08-31,The Times Literary Supplement,p. 13, http://link.galegroup.com/apps/doc/EX1200505486/GDCS?u=linc74325&sid=GDCS&xid=9cb667d2,GALE|EX1200505486,2019-06-29,"""The Times Literary Supplement Historical Archive,""","This article discusses the unique political environment of the holy town of Touba, an Islamic city whose political and religious leader are the Islamic Brotherhood, the Muriddiya. The article suggests that Senghor, as a ""smart tactician,"" ""was quick to realise the political capital to be made from an organization which such sophisticated control of its members"" and he appealed to this population in order to secure their vote. The article continues with modern concerns regarding this population and its voting power in Senegal.",
Poet of Senegal (1962-09-21),apdp.cite.000110,Poet of Senegal,Book Review,Newspaper,1962-09-21,The Times Literary Supplement,p. 703,"http://link.galegroup.
com/apps/doc/EX1200129439/GDCS?u=linc74325&sid=GDCS&xid=d1ea03fc",GALE|EX1200129439,2019-06-29,"""The Times Literary Supplement Historical Archive,""","Gerald Moore reviews two selections of Senghor's work; one with an introductory essay from Armand Guibert, wherein ""he offers a good deal of material on the poet's origins and the formation of his style"" followed by a collection of his work; and the second as Senghor's first new book of poetry for five years, which Moore calls ""a disappointment."" Moore ends the review by suggesting that ""Africa has moved into a new era...of more direct self-expression free from obsessive reactions against assimilation, colonialism, and so forth"" and that Senghor has ""failed to make a new exploration of experience and his poetry has lost some of its relevance."" ",
Praise poet in Paris (2000-04-28),apdp.cite.000111,Praise poet in Paris,Book Review,Newspaper,2000-04-28,The Times Literary Supplement,p. 24,"http://link.galegroup.com/apps/doc/EX1200499729/GDCS?u=linc74325&sid=GDCS&xid=
d7b2f48f",GALE|EX1200499729,2019-06-29,"""The Times Literary Supplement Historical Archive,""","Sheila Mason reviews a collection of poetry, translated by Melvin Dixon, of Leopold Sedar Senghor. Mason writes, ""From Senegal's indpendence, in 1960, until 1980 when he relinquished the Presidency of his nation, Leopold Sedar Senghor dominated the West African political and cultural scene as Maecenas, political philosopher and literary theorist and, not least, as a practising poet. Since his elevation in retirement to the Academie Francaise in 1983 and his move to Paris, the turmoil of his continent's political fortunes have so dimmed this renown that reappraisals of his writing now seem overdue. Melvin Dixon's English rendition of the definitive body of his poetry will, it is to be hoped, encourage this process."" Mason traces the history of the negritude movement and Senghor's involvement. She also criticizes some of the translation by Melvin Dixon, but ultimately praises the collection: ""Thus, while inadvertent infelicities occasionally muffle the poetry's African voice, nevertheless Melvin Dixon achieves that rarest of feats in the translation of poetry: he recreates Leopold Senghor in our own tongue, exhibiting with unflagging good faith his universality as a poet of love, of nature, of war and, rarest of modern accomplishments, of praise.",
London Diary (1961-10-29),apdp.cite.000112,London Diary,News Report,Newspaper,1961-10-29,The Sunday Times,p. 6,"http://link.galegroup.
com/apps/doc/FP1800533599/GDCS?u=linc74325&sid=GDCS&xid=3c4c0251",GALE|FP1800533599,2019-06-29,"""The Sunday Times Historical Archive,""","President Senghor of Senegal, who left London yesterday after a conspicuously successful five-day official visit, had a lively discussion on English and French literature with the Queen at a luncheon party in his honour. Both agreed that State duties made it difficult to devote as much time to reading as they would wish. The President said he insisted on spending from 9 to 11 each morning at his books. M. Senghor, an outstanding French poet, is an admirer of Stephen Spender and Dylan Thomas and has translated both into French. He would like to do the same with T. S. Eliot but finds him ""too difficult for translation."" He hopes the British Council will send poets and writers on lecture tours of Senegal. President Senghor was captured while fighting with the French Resistance. A brilliant linguist, he became the prison camp's interpreter. ",© Times Newspapers Limited.
University news (1973-10-27),apdp.cite.000113,University news,News Report,Newspaper,1973-10-27,The Times,p. 16,http://link.galegroup.com/apps/doc/CS270760283/GDCS?u=linc74325&sid=GDCS&xid=018269af,GALE|CS270760283,2019-06-29,The Times Digital Archive,"The Chancellor of Oxford university, Mr. Harold Macmillan, presided over a congregation yesterday when the degree of Doctor of Letters by Diploma was conferred onto Mr. Leopold Sedar Senghor, president of the Republic of Senegal. Degrees by diploma are conferred only on members of the Royal Family, heads of state and chancellors of the university. President Senghor, a poet and philosophic writer and honorary fellow of St. Antony's College, is the second head of an African state to receive such a degree. The Boden Sanskrit Prize has been awarded to S. P. M. Mackenzie, University College.",© Times Newspapers Limited.
Picture Gallery (1971-06-19),apdp.cite.000114,Picture Gallery,News Report,Newspaper,1971-06-19,The Times,p. 4,http://link.galegroup.com/apps/doc/CS68252883/GDCS?u=linc74325&sid=GDCS&xid=36905c5a,GALE|CS68252883,2019-06-29,The Times Digital Archive,"[Photo with caption] Two writers involved in politics wait to receive honorary degrees at Harvard University: Alan Paton, novelist and leader of the South African Liberal Party, chats with Leopold Sedar Senghor, poet and President of Senegal.",© Times Newspapers Limited.
"No lies, no half-truths: a writer's cup of bitterness runs over (1972-10-09)",apdp.cite.000115,"No lies, no half-truths: a writer's cup of bitterness runs over",News Report,Newspaper,1972-10-09,The Times,p. X,https://link-gale-com.libproxy.unl.edu/apps/doc/CS570652489/GDCS?u=linc74325&sid=GDCS&xid=39d0d0c5,GALE|CS570652489,2019-06-29,The Times Digital Archive,"The article writes on Wole Soyinka's new book, A Man Died, which was ""based on his experiences in and out of prison during the civil war [in Nigeria], and which seems certain to cause General Gowon's Government grave embarassment."" ",© Times Newspapers Limited.
For Christopher Okigbo (1972-10-09),apdp.cite.000116,For Christopher Okigbo,Published Poem,Newspaper,1972-10-09,The Times,p. X,"http://link.galegroup.
com/apps/doc/CS570914633/GDCS?u=linc74325&sid=GDCS&xid=bacf8928",GALE|CS570914633,2019-06-30,The Times Digital Archive,"Four published selections of poems. The first is entitled ""For Christopher Okigbo;"" the next is an excerpt from ""Live Burial;"" the next is an excerpt from ""Procession;"" and the last is from ""Conversation at Night with a Cockroach.""",© Times Newspapers Limited.
Voyage Round Soyinka (1990-03-17),apdp.cite.000117,Voyage Round Soyinka,Critical Article,Newspaper,1990-03-17,Financial Times,p. XX,http://link.galegroup.com/apps/doc/HS2304028407/GDCS?u=linc74325&sid=GDCS&xid=2898085d,GALE|HS2304028407,2019-06-29,Financial Times Historical Archive,"In the article, Anthony Curtis discusses Wole Soyinka as a poet and spokesperson. Curtis writes, ""[Soyinka] is able to distance himself from these situations and see them with humorous clarify as well as passionate indignation. Here is a major a writer who has faced two parallel disasters, that of being stultified by a shower of token honours in the west, and at home being put into gaol for subversion.""",© The Financial Times Limited. All rights reserved.
Death and the King's Horseman (2009-04-04),apdp.cite.000118,Death and the King's Horseman,Play Review,Newspaper,2009-04-04,Financial Times,p. 18,"http://link.galegroup.com/apps/doc/HS2307336688/GDCS?u=linc74325&sid=
GDCS&xid=fa65dbc2",GALE|HS2307336688,2019-06-29,Financial Times Historical Archive,"Wole Soyinka's great play gets a rare outing on the British stage. The 1975 drama tells the story of Elesin, the horseman of a local chief in Oyo, Nigeria, who, when his chief dies, is supposed to follow him into the afterlife. But the colonial district officer intervenes, and the play explores the tragic consequences of Elesin's inability to complete this immensely important Yoruba ritual...""",© The Financial Times Limited. All rights reserved.
"Today's Television: BBC2, 6.45 Human Rights, Human Wrongs (1996-12-12)",apdp.cite.000119,"Today's Television: BBC2, 6.45 Human Rights, Human Wrongs",Critical Article,Newspaper,1996-12-12,Financial Times,p. 17,"http://link.galegroup.com/apps/doc/HS2305176643/GDCS?u=linc74325&sid=
GDCS&xid=55eef039",GALE|HS2305176643,2019-06-29,Financial Times Historical Archive,"6.45 Human Rights, Human Wrongs. Nobel Prize-winning author Wole Soyinka examines the plight of the world's homeless, beginning in his native Nigeria.",© The Financial Times Limited. All rights reserved.
Negro Theatre Workshop (1965-09-03),apdp.cite.000120,Negro Theatre Workshop,Event Announcement,Newspaper,1965-09-03,Financial Times,p. 22,"http://
link.galegroup.com/apps/doc/HS2301107281/GDCS?u=linc74325&sid=GDCS&xid=c126cc19",GALE|HS2301107281,2019-06-29,Financial Times Historical Archive,"Negro Theatre Workshop will present a special charity preview of The Road by Wole Soyinka on Monday, Septemer 13 at 8 p.m. at Theatre Royal, Stratford East. The Workshop is in the process of being set up as a trust, a limited company by guarantee not for profit.",© The Financial Times Limited. All rights reserved.
Playwright in Search of a Role (2003-06-10),apdp.cite.000121,Playwright in Search of a Role,News Report,Newspaper,2003-06-10,Financial Times,p. V,"http://link.galegroup.com/apps/doc/HS2304108033/
GDCS?u=linc74325&sid=GDCS&xid=0045214c",GALE|HS2304108033,2019-06-29,Financial Times Historical Archive,"Wole Soyinka has had a knack of getting into political deep water. That is why the writer, who in 1986 became the first African to win the Nobel prize for literature, has spent long periods of his life in exile. Now, at 68, he is in the gradual process of moving back to his home country, fired up with the idea of becoming more active in Nigerian politics...",© The Financial Times Limited. All rights reserved.
Outspoken Man of Letters (1988-03-07),apdp.cite.000122,Outspoken Man of Letters,News Report,Newspaper,1988-03-07,Financial Times,p. XVI,"http://link.galegroup.com/apps/doc/HS2305688327/GDCS?
u=linc74325&sid=GDCS&xid=14e06bad",GALE|HS2305688327,2019-06-29,Financial Times Historical Archive,"...Poet, dramatist, novelist, and journalist [Soyinka] personifies Nigeria's fascination with politics and the population's irrepressible urge to speak out on any and every issue... Mr. Soyinka's frankness - some would say arrogance - has landed him in trouble in the past and he was detained by the federal government for two years in 1967 when he tried his hand at resolving civil war and visited secessionist Biafra... Nigeria's Nobel prize winner, one of his compatriots told me, is part of a group of people who act as the conscience of the nation...",© The Financial Times Limited. All rights reserved.
Local election test for Nigerian regime (1997-03-14),apdp.cite.000123,Local election test for Nigerian regime,News Report,Newspaper,1997-03-14,Financial Times,p. 4,http://link.galegroup.com/apps/doc/HS2305913608/GDCS?u=linc74325&sid=GDCS&xid=9376d371,GALE|HS2305913608,2019-06-29,Financial Times Historical Archive,"Nigerians go to the polls tomorrow in the first test of the military government's declared intention to return the country to civilian rule by October next year. The local multi-party elections take place against a background of renewed focus on the administration's human rights record, following the charging with treason this week of 15 opposition activitists, including Mr Wole Soyinka, the Nobel prize winner...",© The Financial Times Limited. All rights reserved.
Nigeria protests grow as president clings to power (2010-01-13),apdp.cite.000124,Nigeria protests grow as president clings to power,News Report,Newspaper,2010-01-13,Financial Times,p. 5,http://link.galegroup.com/apps/doc/HS2307262925/GDCS?u=linc74325&sid=GDCS&xid=900c1523,GALE|HS2307262925,2019-06-29,Financial Times Historical Archive,Protesters in Abuja included Nobel laureate Wole Soyinka [photo caption],© The Financial Times Limited. All rights reserved.
Arts Council Awards for Two Playwrights (1967-06-30),apdp.cite.000125,Arts Council Awards for Two Playwrights,News Report,Newspaper,1967-06-30,Financial Times,p. 26,"http://link.galegroup.com/apps/doc/HS2302880646/GDCS?u=linc74325&sid=
GDCS&xid=f0f260bf",GALE|HS2302880646,2019-06-29,Financial Times Historical Archive,"Lord Goodman, chairman of the Arts Council, is to present awards of 500 each to two playwrights to-day. Wole Soyinka and Tom Stoppard are the first writers to receive the John Whiting Award, which is given to British or Commonwealth playwrights for a play or plays, either read in script form or seen in production during the year, which show a new and distinctive development in dramatic writing... The 1966-67 award will be made jointly to: Wole Soyinka, for plays published in a volume of ""Five Plays"" including the following produced in this country for the first time during the year. The lion and the jewel (Royal Court Theatre), and Trials of brother Jero (Hamstead Theatre Club); and Tom Stoppard, for his play Rosencrantz and Guildenstein are dead (National Theatre).",© The Financial Times Limited. All rights reserved.
Lion and the Jewel (1966-12-13),apdp.cite.000126,Lion and the Jewel,Play Review,Newspaper,1966-12-13,Financial Times,p. 22,"http://link.galegroup.com/apps/doc/HS2302868830/GDCS?u=linc74325&sid=GDCS&xid=
bb392c99",GALE|HS2302868830,2019-06-29,Financial Times Historical Archive,"B. A. Young reviews Wole Soyinka's play The Lion and the Jewel at the Royal Court: ""This is Wole Soyinka taking a satirical look at his own people again, and very delightfully he does it... I suspect diehard African Nationalists may think him wrong in this, since he is adulterating the pure African culture with an alien element; the rest of us may thank him for opening up this particular source of good-natured entertainment.""",© The Financial Times Limited. All rights reserved.
How is it that things haven't fallen apart (2010-09-30),apdp.cite.000127,How is it that things haven't fallen apart,News Report,Newspaper,2010-09-30,Financial Times,p. 7,http://link.galegroup.com/apps/doc/HS2307303293/GDCS?u=linc74325&sid=GDCS&xid=bbbda507,GALE|HS2307303293,2019-06-29,Financial Times Historical Archive,"Wole Soyinka, a Nigerian academic and Nobel Prize-winning author, spoke of belonging to a ""wasted generation"". Every country has its ""lost generation"". Some were stolen away by war, some by economic downturns, some by ruthless dictatorship. Nigeria's is perhaps the only one stolen away by too much power and money and leisure and privilege... Hope has to come from the ordinary people. Today, the most outstanding leaders are emerging not from the ranks of the ruling class, but from among ordinary people who have despaired of the government and have decided to create their own path... And yet the irony is that democracy will ultimately work in favour of the ordinary Nigerian and against the politicians who pretend to be true democrats. The genius of democracy is that it is a self-perfecting system. The laws the politicians are now enacting as if in jest, under the assumption that they apply only to the common man and not to them, these same laws are what would work against them the day one good leader decides to enforce them. Then a new era for Nigeria would begin.""",© The Financial Times Limited. All rights reserved.
Awards and Prizes in 1986 (1986-12-27),apdp.cite.000128,Awards and Prizes in 1986,News Report,Newspaper,1986-12-27,Financial Times,p. XII,"http://link.galegroup.com/apps/doc/HS2304968741/GDCS?u=linc74325&sid=
GDCS&xid=b608e1f3",GALE|HS2304968741,2019-06-29,Financial Times Historical Archive,The main literary award winners of 1986 were as follows: the Nobel Prize for Literature...Wole Soyinka of Nigeria; the Booker Prize... Kingsley Amis The Old Devils (Hutchinson); the Prix Goncourt...Michel Host Valet de Nuit (Editions Grasset); the Ritz Paris Hemingway Award...Marguerite Duras The Lover (Collins)...,© The Financial Times Limited. All rights reserved.
African Adventurer: The life of a Nigerian maverick makes for a challenging read (2006-05-06),apdp.cite.000129,African Adventurer: The life of a Nigerian maverick makes for a challenging read,Book Review,Newspaper,2006-05-06,Financial Times,p. 28-29,http://link.galegroup.com/apps/doc/HS2306058300/GDCS?u=linc74325&sid=GDCS&xid=80466f8e,GALE|HS2306058300,2019-06-29,Financial Times Historical Archive,"Politically engage young writers are supposed to mellow when they grow old. With experience and recognition, you somehow expect them to become more settled in their chosen craft, less fired-up, more removed from the fray. But not Wole Soyinka. Twenty years after winning the Nobel Prize for literature, the first African to do so, he has pitched himself back into the seething politics of Nigeria, ""the place I never should have left"". [David White reviews Wole Soyinka's autobiographical work.]",© The Financial Times Limited. All rights reserved.
A life in pictures: Wole Soyinka (2010-01-23),apdp.cite.000130,A life in pictures: Wole Soyinka,Feature,Newspaper,2010-01-23,Financial Times,p. 10,"http://link.galegroup.com/apps/doc/HS2307372924/GDCS?u=linc74325&sid=
GDCS&xid=03e21f80",GALE|HS2307372924,2019-06-29,Financial Times Historical Archive,"The Nigerian Nobel laureate, author, politial activist, and unflinching campaigner against the ""oppressive boot"" [A collection of photos and captions featuring Wole Soyinka.]",© The Financial Times Limited. All rights reserved.
Harsh comedy on a Lagos beach (1966-06-29),apdp.cite.000131,Harsh comedy on a Lagos beach,Play Review,Newspaper,1966-06-29,The Times,p. 7,"http://link.galegroup.com/apps/doc/CS117664477/GDCS?u=linc74325&sid=GDCS&xid=
c022391c",GALE|CS117664477,2019-06-29,The Times Digital Archive,"Independent Africa has produced a big crop of novelists, but so far the only dramatist we know anything about is the Nigerian writer Wole Soyinka. But with Soyinka on the scene African drama is a force to be reckoned with. After last year's production of The Road, and now The Trials of Brother Jero, performed by an African company from the Transcription Centre Theatre Workshop, he appears as an extremely sophisticated craftsman working within a rich folk tradition: given the present impoverished state of our own language, his contribution to English-speaking drama could grow into something as important as Sygne's opening up of the Western isles...",© Times Newspapers Limited.
How do you pull of something like this? Director Rufus Norris talks to Sarah Hemming about the challenge of staging a play by Wole Soyinka (2009-03-28),apdp.cite.000132,How do you pull of something like this? Director Rufus Norris talks to Sarah Hemming about the challenge of staging a play by Wole Soyinka,Interview,Newspaper,2009-03-28,Financial Times,p. 10,http://link.galegroup.com/apps/doc/HS2307335863/GDCS?u=linc74325&sid=GDCS&xid=8ae3d764,GALE|HS2307335863,2019-06-29,Financial Times Historical Archive,"Sarah Hemming interviews director Rufus Norris about the process of putting on Death and the King's Horseman, by Wole Soyinka. Of the play: ""Considered by many to be Wole Soyinka's greatest play, this 1975 drama is based on a real incident in Oyo, Nigeria, in 1946, when the colonial district officer intervened to prevent a local man committing ritual suicide. Soyinka's drama places that man, Elesin, at the centre of the story and follows the disastrous conseqeunces of his being unable to complete the rite.""",© The Financial Times Limited. All rights reserved.
"Tracts for the times: Art, Dialogue and Outrage by Wole Soyinka (1988-12-10)",apdp.cite.000133,"Tracts for the times: Art, Dialogue and Outrage by Wole Soyinka",Book Review,Newspaper,1988-12-10,Financial Times,p. XVI,"http://link.galegroup.com/apps/doc/HS2305742095/
GDCS?u=linc74325&sid=GDCS&xid=6fd31acc",GALE|HS2305742095,2019-06-29,Financial Times Historical Archive,"Andrew St. George reviews Wole Soyinka's essay collection, suggesting, ""Soyinka sparkles and delights. He carries his credentials lightly but likes the sound they make when they drop...But criticism for Soyinka travels both ways down a broad street; these essays foster a taste for the inordinate and mischievous which works with and against Nigerian culture.""",© The Financial Times Limited. All rights reserved.
News in Brief: Nigerian Author on Hunger Strike (1965-11-02),apdp.cite.000134,News in Brief: Nigerian Author on Hunger Strike,News Report,Newspaper,1965-11-02,The Times,p. 7,http://link.galegroup.com/apps/doc/CS118581602/GDCS?u=linc74325&sid=GDCS&xid=468f8f99,GALE|CS118581602,2019-06-29,The Times Digital Archive,"Mr. Wole Soyinka, a Nigerian playwright and university lecturer, has gone on hunger strike after being held by the police at Ibadan for nearly a week, his lawyer said today. Mr. Soyinka, whose play The Road was staged at the recent Commonwealth Arts Festival in London, gave himself up last Tuesday. A warrant had been issued for his arrest, and the police said they wanted to question him about an illicit broadcast from Ibadan. ",© Times Newspapers Limited.
News in Brief: Nigerian freed (1969-10-09),apdp.cite.000135,News in Brief: Nigerian freed,News Report,Newspaper,1969-10-09,The Times,p. 1,http://link.galegroup.com/apps/doc/CS17658185/GDCS?u=linc74325&sid=GDCS&xid=63cf69fd,GALE|CS17658185,2019-06-29,The Times Digital Archive,"Mr. Wole Soyinka, the Nigerian playwright, has been released from prison. A police source in Lagos disclosed that Mr. Soyinka was among 151 civilian detainees freed since October 1 under a limited amnesty. ",© Times Newspapers Limited.
Tonie: acting in Hampsted (1966-05-17),apdp.cite.000136,Tonie: acting in Hampsted,News Report,Newspaper,1966-05-17,The Times,p. 15," http://link.galegroup.com/
apps/doc/CS252406449/GDCS?u=linc74325&sid=GDCS&xid=7150f2e8",GALE|CS252406449,2019-06-29,The Times Digital Archive,"Sierra Leone's first professional stage actress is Tonie Tucker who will take the part of Sidi in The Lion and the Jewel by Wole Soyinka of Nigeria on the B.B.C. Third programme on Thursday. Tonie, who is 23, came to this country in 1962 with a government grant to study at the College of Dramatic Art in Glasgow. At the end of June she will play in a double bill presented at Hampstead Theatre Club by the Masques, a group formed this year who want to perform plays in London by African wrtiers. Their producer is Athol Fugard from South Africa. Their first plays, The Trials of Brother Jerome and The Strong Breed, are both by Wole Soyinka. .... ",© Times Newspapers Limited.
A Literature in the Making (1935-05-31),apdp.cite.000137,A Literature in the Making,Critical Article,Newspaper,1935-05-31,The Times,p. 57,"http://link.
galegroup.com/apps/doc/CS956509375/GDCS?u=linc74325&sid=GDCS&xid=9064af5e",GALE|CS956509375,2019-06-29,The Times Digital Archive,"Professor J. P. R. Wallis writes of the development of poetry and literature in South Africa. He suggests that ""the insurmountable obstacle in the way of those who would discourse of South African literature is that as yet it does not exist,"" in that the Union of the nation has ""not unity in any intimate spiritual sense of the word."" Wallis continues in exploring the different authors that are working in South Africa, such as poets F. Carey Slater, Roy Campbell, and Charles Murray, among other prose writers.",© Times Newspapers Limited.
Life University post for Wole Soyinka (1976-01-02),apdp.cite.000138,Life University post for Wole Soyinka,News Report,Newspaper,1976-01-02,The Times,p. 4,"http://link.
galegroup.com/apps/doc/CS67599906/GDCS?u=linc74325&sid=GDCS&xid=d214d30b",GALE|CS67599906,2019-06-29,The Times Digital Archive,"Wole Soyinka, the Nigerian playwright who returned home recently after a prolonged self-exile in Ghana, has been appointed professor of comparative literature at the University of Ife.",© Times Newspapers Limited.
